Date,Price,Open,High,Low,Vol.,Change %
01/03/2019,4611.4902,4641.7998,4671.2798,4607.6802,78.74M,-1.66%
01/04/2019,4737.1201,4649.6299,4750.5098,4636.79,95.97M,2.72%
01/07/2019,4719.1699,4757.0098,4760.27,4690.2202,73.90M,-0.38%
01/08/2019,4773.27,4722.1602,4810.27,4719.23,98.11M,1.15%
01/09/2019,4813.5801,4811.1802,4843.48,4801.8301,94.18M,0.84%
01/10/2019,4805.6602,4788.7598,4805.6602,4759.7598,76.14M,-0.16%
01/11/2019,4781.3398,4814.6602,4821.2798,4760.8398,77.04M,-0.51%
01/14/2019,4762.75,4740.3101,4773.1499,4730.5498,69.50M,-0.39%
01/15/2019,4786.1699,4799.5801,4816.73,4754.6899,83.42M,0.49%
01/16/2019,4810.7402,4811.5898,4816.4902,4784.79,81.10M,0.51%
01/17/2019,4794.3701,4782.6299,4801.6699,4772.6401,82.67M,-0.34%
01/18/2019,4875.9302,4825.9702,4881.5698,4824.2598,106.13M,1.7%
01/21/2019,4867.7798,4865.79,4872.6201,4859.7598,49.42M,-0.17%
01/22/2019,4847.5298,4841.1802,4863.2998,4824.0601,68.00M,-0.42%
01/23/2019,4840.3799,4831.9199,4875.4102,4820.1401,78.60M,-0.15%
01/24/2019,4871.96,4839.5898,4883.8999,4832.3999,82.88M,0.65%
01/25/2019,4925.8198,4895.5898,4931.7998,4890.8999,82.97M,1.11%
01/28/2019,4888.5801,4903.9502,4912.1001,4878.6201,64.84M,-0.76%
01/29/2019,4928.1802,4889.3398,4949.4502,4879.6602,66.41M,0.81%
01/30/2019,4974.7598,4943.6802,4974.7598,4942.6401,68.86M,0.95%
01/31/2019,4992.7202,4993.0898,5016.2798,4955.5,102.64M,0.36%
02/01/2019,5019.2598,5004.6499,5023.3701,4980.5,79.79M,0.53%
02/04/2019,5000.1899,5014.3101,5019.3999,4970.7002,70.66M,-0.38%
02/05/2019,5083.3398,5009.8301,5083.3398,4997.5298,87.21M,1.66%
02/06/2019,5079.0498,5060.6499,5083.8101,5058.04,85.30M,-0.08%
02/07/2019,4985.5601,5075.75,5083.8901,4985.5601,111.26M,-1.84%
02/08/2019,4961.6401,4980.8101,5005.6401,4946.1401,100.19M,-0.48%
02/11/2019,5014.4702,4988.0898,5023.29,4986.2998,70.05M,1.06%
02/12/2019,5056.3501,5052.3301,5073.79,5039.9902,81.41M,0.84%
02/13/2019,5074.27,5071.54,5092.1899,5061.6001,84.73M,0.35%
02/14/2019,5062.52,5117.79,5117.79,5062.52,90.01M,-0.23%
02/15/2019,5153.1899,5061.54,5164.5801,5059.5,110.47M,1.79%
02/18/2019,5168.54,5149.0601,5170.96,5147.8101,60.82M,0.3%
