Date,Price,Open,High,Low,Vol.,Change %
01/03/2019,10416.6602,10467.1104,10538.6602,10400.1104,84.73M,-1.55%
01/04/2019,10767.6904,10533.9404,10786.3398,10483.9004,95.34M,3.37%
01/07/2019,10747.8096,10814.3896,10814.4697,10681.2695,71.15M,-0.18%
01/08/2019,10803.9805,10750.1904,10910.71,10745.0303,93.67M,0.52%
01/09/2019,10893.3203,10884.75,10961.9199,10839.0898,96.07M,0.83%
01/10/2019,10921.5898,10843.8896,10927.1299,10788.0498,77.26M,0.26%
01/11/2019,10887.46,10949.1299,10959.0,10829.9199,75.54M,-0.31%
01/14/2019,10855.9102,10820.8496,10886.2305,10786.75,65.95M,-0.29%
01/15/2019,10891.79,10962.9502,10994.8301,10812.5898,80.20M,0.33%
01/16/2019,10931.2402,10940.3604,10947.8701,10866.3896,79.81M,0.36%
01/17/2019,10918.6201,10852.5,10929.2998,10822.25,79.33M,-0.12%
01/18/2019,11205.54,11001.3096,11216.8203,10993.8301,119.13M,2.63%
01/21/2019,11136.2002,11176.1201,11179.9102,11125.5303,65.96M,-0.62%
01/22/2019,11090.1104,11076.9805,11142.2197,11034.5498,73.45M,-0.41%
01/23/2019,11071.54,11043.6396,11135.75,11007.21,87.75M,-0.17%
01/24/2019,11130.1797,11045.6396,11149.3203,11032.5303,110.55M,0.53%
01/25/2019,11281.79,11234.0498,11321.6201,11218.3496,100.00M,1.36%
01/28/2019,11210.3096,11233.1602,11275.21,11196.4199,73.12M,-0.63%
01/29/2019,11218.8301,11191.5195,11276.2803,11159.1699,75.13M,0.08%
01/30/2019,11181.6602,11210.6797,11215.21,11132.3799,73.63M,-0.33%
01/31/2019,11173.0996,11257.9199,11311.3701,11051.1104,111.95M,-0.08%
02/01/2019,11180.6602,11198.46,11218.5098,11116.0801,101.70M,0.07%
02/04/2019,11176.5801,11180.4199,11209.3096,11100.3398,74.17M,-0.04%
02/05/2019,11367.9805,11178.75,11371.7402,11177.7002,89.42M,1.71%
02/06/2019,11324.7197,11337.54,11347.9404,11297.4199,75.89M,-0.38%
02/07/2019,11022.0195,11262.9697,11286.46,11022.0195,108.02M,-2.67%
02/08/2019,10906.7803,10991.79,11045.4102,10863.5596,102.30M,-1.05%
02/11/2019,11014.5898,10955.8301,11041.9502,10944.5801,69.55M,0.99%
02/12/2019,11126.0801,11123.4297,11164.3799,11116.8604,74.84M,1.01%
02/13/2019,11167.2197,11174.8496,11217.2998,11125.5898,69.77M,0.37%
02/14/2019,11089.79,11257.7998,11260.5498,11077.7803,83.38M,-0.69%
02/15/2019,11299.7998,11044.7998,11323.0498,11018.9502,105.64M,1.89%
02/18/2019,11299.2002,11287.7402,11318.1904,11256.2695,55.48M,-0.01%
02/19/2019,11309.21,11280.7305,11371.4404,11244.5195,67.15M,0.09%
02/20/2019,11401.9697,11338.7402,11437.4697,11318.7402,71.84M,0.82%
02/21/2019,11423.2803,11448.6504,11454.4404,11392.2695,77.78M,0.19%
02/22/2019,11457.7002,11422.6201,11504.71,11420.7402,66.89M,0.3%
02/25/2019,11505.3896,11517.7598,11544.3096,11480.4902,69.95M,0.42%
02/26/2019,11540.79,11446.29,11556.8701,11441.8701,74.03M,0.31%
02/27/2019,11487.3301,11493.8096,11521.2197,11442.9697,84.27M,-0.46%
02/28/2019,11515.6396,11430.7998,11524.9902,11416.0801,84.13M,0.25%
