Date,Price,Open,High,Low,Vol.,Change %
01/03/2019,6692.7002,6734.2002,6753.1001,6685.1001,674.10M,-0.62%
01/04/2019,6837.3999,6692.7002,6850.3999,6692.5,639.14M,2.16%
01/07/2019,6810.8999,6837.3999,6874.1001,6778.0,736.56M,-0.39%
01/08/2019,6861.6001,6810.8999,6901.5,6804.8999,651.98M,0.74%
01/09/2019,6906.6001,6861.6001,6938.2998,6861.6001,860.68M,0.66%
01/10/2019,6942.8999,6906.6001,6948.2002,6860.7998,611.43M,0.53%
01/11/2019,6918.2002,6942.8999,7001.8999,6902.7002,680.48M,-0.36%
01/14/2019,6855.0,6918.2002,6918.2002,6841.7002,683.45M,-0.91%
01/15/2019,6895.0,6855.0,6910.5,6849.6001,687.34M,0.58%
01/16/2019,6862.7002,6895.0,6912.3999,6848.6001,787.63M,-0.47%
01/17/2019,6834.8999,6862.7002,6862.7002,6799.0,582.65M,-0.41%
01/18/2019,6968.2998,6834.8999,6984.3999,6834.8999,795.74M,1.95%
01/21/2019,6970.6001,6968.2998,6987.8999,6954.5,474.83M,0.03%
01/22/2019,6901.3999,6970.6001,6970.6001,6880.7002,565.97M,-0.99%
01/23/2019,6842.8999,6901.3999,6901.6001,6834.2998,646.04M,-0.85%
01/24/2019,6819.0,6842.8999,6854.6001,6802.0,599.98M,-0.35%
01/25/2019,6809.2002,6819.0,6858.2002,6806.7998,727.50M,-0.14%
01/28/2019,6747.1001,6809.2002,6812.5,6734.0,648.21M,-0.91%
01/29/2019,6833.8999,6747.1001,6860.2998,6747.1001,697.04M,1.29%
01/30/2019,6941.6001,6833.8999,6967.7002,6833.8999,748.77M,1.58%
01/31/2019,6968.8999,6941.6001,6994.8999,6941.1001,866.32M,0.39%
02/01/2019,7020.2002,6968.8999,7024.5,6968.8999,630.71M,0.74%
02/04/2019,7034.1001,7020.2002,7046.6001,7002.3999,611.99M,0.2%
02/05/2019,7177.3999,7034.1001,7180.7002,7033.6001,662.98M,2.04%
02/06/2019,7173.1001,7177.3999,7184.2002,7146.7002,599.49M,-0.06%
02/07/2019,7093.6001,7173.1001,7187.5,7093.6001,649.64M,-1.11%
02/08/2019,7071.2002,7093.6001,7115.7998,7064.8999,532.30M,-0.32%
02/11/2019,7129.1001,7071.2002,7149.2002,7071.2002,548.32M,0.82%
02/12/2019,7133.1001,7129.1001,7168.6001,7121.7002,526.74M,0.06%
02/13/2019,7190.7998,7133.1001,7205.1001,7133.1001,561.65M,0.81%
02/14/2019,7197.0,7190.7998,7232.7998,7183.0,519.11M,0.09%
02/15/2019,7236.7002,7197.0,7261.6001,7185.2002,688.42M,0.55%
02/18/2019,7219.5,7236.7002,7242.1001,7209.7002,440.06M,-0.24%
02/19/2019,7179.2002,7219.5,7219.5,7162.7998,624.12M,-0.56%
02/20/2019,7228.6001,7179.2002,7234.2002,7178.0,861.25M,0.69%
02/21/2019,7167.3999,7228.6001,7228.7998,7141.8999,798.80M,-0.85%
02/22/2019,7178.6001,7167.3999,7220.5,7162.3999,646.72M,0.16%
02/25/2019,7183.7002,7178.6001,7210.7002,7158.2002,644.94M,0.07%
02/26/2019,7151.1001,7183.7002,7183.7998,7091.6001,865.72M,-0.45%
02/27/2019,7107.2002,7151.1001,7151.1001,7082.6001,870.72M,-0.61%
02/28/2019,7074.7002,7107.2002,7107.2002,7041.0,979.62M,-0.46%
03/01/2019,7106.7002,7074.7002,7129.7002,7074.7002,700.83M,0.45%
03/04/2019,7134.3999,7106.7002,7166.2002,7106.7002,634.70M,0.39%
03/05/2019,7183.3999,7134.3999,7191.7002,7127.2002,795.29M,0.69%
03/06/2019,7196.0,7183.3999,7211.7998,7170.2998,791.98M,0.18%
03/07/2019,7157.6001,7196.0,7196.0,7126.6001,691.32M,-0.53%
03/08/2019,7104.2998,7157.6001,7157.6001,7077.8999,622.10M,-0.74%
03/11/2019,7130.6001,7104.2998,7181.6001,7104.2998,674.29M,0.37%
03/12/2019,7151.2002,7130.6001,7166.6001,7083.2002,752.03M,0.29%
03/13/2019,7159.2002,7151.2002,7181.8999,7128.7002,744.63M,0.11%
03/14/2019,7185.3999,7159.2002,7215.5,7148.1001,791.26M,0.37%
03/15/2019,7228.2998,7185.3999,7243.7998,7185.3999,1.34B,0.6%
03/18/2019,7299.2002,7228.2998,7299.2002,7228.2002,642.99M,0.98%
03/19/2019,7324.0,7299.2002,7350.1001,7294.5,598.90M,0.34%
03/20/2019,7291.0,7324.0,7341.6001,7291.0,748.85M,-0.45%
03/21/2019,7355.2998,7291.0,7370.6001,7290.6001,709.43M,0.88%
03/22/2019,7207.6001,7355.2998,7356.3999,7192.7998,694.77M,-2.01%
03/25/2019,7177.6001,7207.6001,7208.1001,7146.7998,586.17M,-0.42%
03/26/2019,7196.2998,7177.6001,7221.0,7169.3999,629.61M,0.26%
03/27/2019,7194.2002,7196.2998,7222.6001,7160.1001,678.74M,-0.03%
03/28/2019,7234.2998,7194.2002,7265.5,7190.8999,568.04M,0.56%
03/29/2019,7279.2002,7234.2998,7287.7002,7223.2998,794.40M,0.62%
04/01/2019,7317.3999,7279.2002,7352.2002,7279.2002,697.01M,0.52%
04/02/2019,7391.1001,7317.3999,7403.6001,7316.7998,720.84M,1.01%
04/03/2019,7418.2998,7391.1001,7418.2998,7380.8999,880.77M,0.37%
04/04/2019,7401.8999,7418.2998,7418.3999,7367.3999,675.67M,-0.22%
04/05/2019,7446.8999,7401.8999,7461.3999,7400.7998,679.96M,0.61%
04/08/2019,7451.8999,7446.8999,7459.8999,7420.3999,571.38M,0.07%
04/09/2019,7425.6001,7451.8999,7477.6001,7413.2998,652.30M,-0.35%
04/10/2019,7421.8999,7425.6001,7441.3999,7409.3999,569.75M,-0.05%
04/11/2019,7418.0,7421.8999,7441.8999,7383.5,629.60M,-0.05%
04/12/2019,7437.1001,7418.0,7454.7998,7415.0,696.90M,0.26%
04/15/2019,7436.8999,7437.1001,7447.1001,7420.2998,511.60M,-0.0%
04/16/2019,7469.8999,7436.8999,7485.8999,7436.8999,623.81M,0.44%
04/17/2019,7471.2998,7469.8999,7479.0,7445.1001,646.33M,0.02%
04/18/2019,7459.8999,7471.2998,7475.8999,7437.8999,520.51M,-0.15%
