Date,Price,Open,High,Low,Vol.,Change %
01/03/2019,6147.1299,6274.7598,6292.6802,6139.3999,2.63B,-3.36%
01/04/2019,6422.6699,6250.0498,6445.2002,6234.5898,2.60B,4.48%
01/07/2019,6488.25,6434.5498,6521.4399,6412.98,2.52B,1.02%
01/08/2019,6551.8501,6555.9102,6574.73,6457.0,2.41B,0.98%
01/09/2019,6600.6899,6576.54,6631.0601,6549.4399,2.43B,0.75%
01/10/2019,6620.9399,6551.0498,6625.1099,6517.54,2.19B,0.31%
01/11/2019,6601.3999,6579.8901,6604.5601,6562.04,2.07B,-0.3%
01/14/2019,6541.04,6536.3701,6566.8701,6512.6401,1.96B,-0.91%
01/15/2019,6669.6401,6571.1499,6674.5298,6567.3198,2.07B,1.97%
01/16/2019,6668.5601,6677.3799,6720.4102,6665.0498,2.16B,-0.02%
01/17/2019,6718.4502,6646.1899,6747.2798,6637.1001,2.15B,0.75%
01/18/2019,6784.6099,6771.52,6816.23,6727.9399,2.46B,0.98%
01/22/2019,6646.8101,6736.6499,6738.5698,6603.5601,2.40B,-2.03%
01/23/2019,6658.7598,6689.0801,6712.8599,6584.5,2.29B,0.18%
01/24/2019,6702.5498,6680.3398,6710.73,6656.52,2.42B,0.66%
01/25/2019,6787.3701,6755.6699,6800.9702,6733.3198,2.45B,1.27%
01/28/2019,6697.0898,6691.8398,6697.5298,6644.3101,2.45B,-1.33%
01/29/2019,6632.79,6695.71,6701.4702,6613.4199,2.11B,-0.96%
01/30/2019,6807.9102,6708.5601,6826.9199,6688.3301,2.57B,2.64%
01/31/2019,6906.8398,6840.9302,6936.3398,6837.9199,2.95B,1.45%
02/01/2019,6875.52,6872.73,6921.9502,6857.3101,2.40B,-0.45%
02/04/2019,6959.96,6876.5601,6960.9702,6872.6001,2.11B,1.23%
02/05/2019,7023.52,6969.3701,7029.77,6967.9399,2.28B,0.91%
02/06/2019,6997.6201,7023.8901,7034.9399,6969.8301,2.18B,-0.37%
02/07/2019,6904.98,6934.3301,6954.77,6854.3501,2.31B,-1.32%
02/08/2019,6913.1299,6843.3301,6914.5601,6836.7002,2.10B,0.12%
02/11/2019,6909.1802,6941.2598,6958.3301,6893.7998,1.91B,-0.06%
02/12/2019,7014.6699,6960.5498,7021.7598,6948.3301,2.14B,1.53%
02/13/2019,7015.8799,7038.3198,7062.5801,7009.73,2.10B,0.02%
02/14/2019,7022.4199,6986.5098,7047.8799,6969.6899,2.12B,0.09%
02/15/2019,7055.1802,7066.3799,7073.9902,7022.2998,2.26B,0.47%
02/19/2019,7066.6099,7033.3701,7089.1001,7032.7798,2.12B,0.16%
02/20/2019,7062.3398,7070.2402,7096.1499,7027.3701,2.20B,-0.06%
02/21/2019,7035.1602,7047.0801,7063.0698,7001.7998,2.14B,-0.38%
02/22/2019,7090.6299,7055.2002,7094.29,7050.0098,2.43B,0.79%
02/25/2019,7115.4302,7144.3398,7161.73,7111.7798,2.40B,0.35%
02/26/2019,7123.2202,7098.9702,7144.6499,7087.1401,2.31B,0.11%
02/27/2019,7117.0,7095.75,7125.7798,7045.4102,2.43B,-0.09%
02/28/2019,7097.5298,7093.2002,7125.9199,7081.9199,2.68B,-0.27%
03/01/2019,7151.5698,7152.0801,7159.96,7101.0698,2.49B,0.76%
03/04/2019,7150.8301,7193.8799,7205.9399,7073.3999,2.58B,-0.01%
03/05/2019,7156.79,7156.6602,7178.2998,7120.6899,2.17B,0.08%
03/06/2019,7112.4702,7156.2402,7162.2402,7104.5498,2.26B,-0.62%
03/07/2019,7026.8799,7089.6299,7097.9102,7001.8101,2.46B,-1.2%
03/08/2019,7015.6899,6940.8999,7018.9199,6940.7202,2.26B,-0.16%
03/11/2019,7164.02,7050.0498,7166.9302,7049.5601,2.25B,2.11%
03/12/2019,7201.2798,7176.23,7219.4102,7166.9502,2.17B,0.52%
03/13/2019,7256.98,7231.0498,7292.8599,7229.8799,2.38B,0.77%
03/14/2019,7243.0098,7257.3101,7267.9399,7240.96,2.20B,-0.19%
03/15/2019,7306.9902,7274.1401,7331.2998,7265.6299,3.45B,0.88%
03/18/2019,7326.2798,7311.6299,7348.6899,7293.8501,2.30B,0.26%
03/19/2019,7349.2798,7357.5801,7390.29,7321.9302,2.46B,0.31%
03/20/2019,7380.75,7348.9902,7422.75,7318.4199,2.46B,0.43%
03/21/2019,7493.27,7356.9399,7505.4102,7356.9399,2.50B,1.52%
03/22/2019,7326.0601,7458.4399,7482.3501,7323.52,2.50B,-2.23%
03/25/2019,7316.96,7299.9302,7342.5098,7265.2798,2.16B,-0.12%
03/26/2019,7351.1499,7378.23,7417.2598,7314.3799,2.08B,0.47%
03/27/2019,7308.1899,7364.4702,7376.9902,7252.0601,2.24B,-0.58%
03/28/2019,7320.4702,7325.0601,7346.04,7277.6899,1.92B,0.17%
03/29/2019,7378.77,7377.77,7381.6899,7333.1699,2.31B,0.8%
04/01/2019,7478.4199,7450.8101,7481.8398,7422.4399,2.23B,1.35%
04/02/2019,7499.6401,7473.5098,7507.0498,7461.5098,2.12B,0.28%
04/03/2019,7544.9702,7538.1699,7589.6899,7520.3999,2.51B,0.6%
04/04/2019,7540.5698,7542.1602,7571.1299,7496.2998,2.15B,-0.06%
04/05/2019,7578.8398,7564.27,7581.8999,7554.9102,2.16B,0.51%
04/08/2019,7599.7402,7565.0601,7602.0801,7536.4199,2.08B,0.28%
04/09/2019,7568.4902,7571.8799,7596.75,7555.6201,2.08B,-0.41%
04/10/2019,7611.4902,7581.3901,7613.4102,7573.2798,2.01B,0.57%
04/11/2019,7594.8901,7621.3999,7621.3999,7580.71,1.97B,-0.22%
04/12/2019,7628.1499,7624.1499,7630.52,7596.5601,1.97B,0.44%
04/15/2019,7629.1201,7630.6001,7636.7998,7578.54,1.83B,0.01%
04/16/2019,7654.73,7651.1899,7670.3999,7631.6401,2.10B,0.34%
04/17/2019,7680.7202,7705.3198,7715.0698,7659.8501,2.32B,0.34%
04/18/2019,7689.7202,7688.9302,7694.1802,7647.3999,2.12B,0.12%
04/22/2019,7713.4902,7658.3701,7715.3301,7653.8901,1.79B,0.31%
04/23/2019,7810.71,7724.1699,7819.3398,7719.0898,2.10B,1.26%
04/24/2019,7784.4102,7813.02,7827.0498,7783.5898,2.04B,-0.34%
04/25/2019,7816.9199,7850.71,7851.9702,7778.23,2.07B,0.42%
04/26/2019,7826.6802,7791.1499,7826.8901,7742.6001,1.98B,0.12%
04/29/2019,7839.04,7825.6401,7851.8501,7812.9702,1.78B,0.16%
04/30/2019,7781.46,7769.2998,7792.3198,7726.0698,2.13B,-0.73%
05/01/2019,7751.8501,7828.1401,7851.0298,7749.7402,2.27B,-0.38%
05/02/2019,7724.0601,7751.6401,7791.5098,7672.54,2.21B,-0.36%
05/03/2019,7845.73,7784.29,7847.52,7772.4399,2.08B,1.58%
05/06/2019,7794.0898,7662.9199,7804.54,7662.9199,1.98B,-0.66%
05/07/2019,7640.1499,7713.4902,7743.0601,7572.6099,2.40B,-1.98%
05/08/2019,7617.5498,7623.3198,7678.8198,7593.75,2.21B,-0.3%
05/09/2019,7582.75,7525.8101,7605.0298,7472.71,2.55B,-0.46%
05/10/2019,7586.5298,7556.04,7623.0098,7426.75,2.42B,0.05%
05/13/2019,7324.1299,7385.5498,7433.9199,7303.6401,2.48B,-3.46%
05/14/2019,7401.8799,7366.6401,7449.0298,7337.9399,2.10B,1.06%
05/15/2019,7503.25,7354.8198,7524.2202,7353.8999,2.01B,1.37%
05/16/2019,7580.1401,7509.9102,7627.0298,7502.7598,2.17B,1.02%
05/17/2019,7503.6802,7513.1499,7605.6699,7496.9199,2.18B,-1.01%
05/20/2019,7376.7002,7391.73,7424.5898,7351.9199,2.13B,-1.69%
05/21/2019,7451.02,7442.3101,7472.71,7417.0698,2.00B,1.01%
05/22/2019,7420.6602,7413.8398,7458.1099,7410.71,1.88B,-0.41%
05/23/2019,7307.9302,7331.6699,7337.4702,7261.46,2.27B,-1.52%
05/24/2019,7300.96,7353.9702,7371.2998,7294.1001,1.69B,-0.1%
05/28/2019,7278.3799,7321.27,7362.29,7274.7002,2.38B,-0.31%
05/29/2019,7216.8599,7222.5498,7254.2002,7176.6699,2.28B,-0.85%
05/30/2019,7245.3999,7234.8301,7262.77,7204.4199,1.88B,0.4%
05/31/2019,7127.96,7148.71,7183.23,7125.9702,2.24B,-1.62%
06/03/2019,6978.02,7110.3398,7126.4302,6936.6802,2.58B,-2.1%
06/04/2019,7166.75,7056.1802,7169.79,7023.0898,2.37B,2.7%
06/05/2019,7220.8999,7230.8101,7235.23,7146.4302,2.14B,0.76%
06/06/2019,7275.9302,7229.8599,7293.2202,7201.5898,2.09B,0.76%
06/07/2019,7417.29,7315.3301,7445.9902,7309.0098,2.07B,1.94%
06/10/2019,7501.9302,7472.6001,7573.0,7468.1699,2.04B,1.14%
06/11/2019,7513.8501,7584.75,7595.5698,7489.9902,2.12B,0.16%
06/12/2019,7472.29,7493.5498,7507.52,7459.2002,1.98B,-0.55%
06/13/2019,7510.6802,7500.8501,7530.9102,7487.0898,1.85B,0.51%
06/14/2019,7479.1099,7476.4702,7500.7402,7454.8701,1.81B,-0.42%
06/17/2019,7526.52,7500.2798,7546.9902,7492.1699,1.95B,0.63%
06/18/2019,7635.3999,7606.6099,7689.0801,7595.5898,2.25B,1.45%
06/19/2019,7667.7402,7652.52,7681.5601,7606.2798,2.03B,0.42%
06/20/2019,7738.0498,7770.1699,7770.6099,7681.4302,2.11B,0.92%
06/21/2019,7728.7798,7719.4199,7772.5298,7708.25,2.91B,-0.12%
