Date,TY_US10Y,RX_BUND,G_GILT,OAT_FRANCE,ZINC,LEAD
2015-01-02,127.15625,156.48,119.82,147.77,2195.5,1866.5
2015-01-09,128.578125,156.74,121.2,147.64,2146.0,1860.0
2015-01-16,129.859375,157.44,121.71,148.95,2092.0,1843.0
2015-01-23,129.671875,158.73,122.47,149.79,2087.0,1840.0
2015-01-30,130.875,159.39,123.87,149.95,2118.75,1850.25
2015-02-06,128.71875,158.42,120.83,148.98,2154.5,1841.75
2015-02-13,128.234375,158.99,120.53,149.31,2141.25,1836.0
2015-02-20,127.40625,158.82,119.57,149.27,2037.0,1762.75
2015-02-27,128.421875,159.46,119.37,150.26,2051.75,1720.5
2015-03-06,126.75,159.06,117.63,149.77,2003.5,1820.5
2015-03-13,127.765625,157.99,120.18,155.76,2000.25,1777.0
2015-03-20,129.21875,158.76,121.95,156.53,2057.75,1786.5
2015-03-27,128.6875,158.54,121.89,155.82,2074.5,1824.25
2015-04-03,129.921875,158.75,120.51,156.08,2122.25,1881.75
2015-04-10,128.8125,159.19,120.45,156.66,2202.75,2000.0
2015-04-17,129.8125,160.29,120.58,157.43,2210.0,2032.0
2015-04-24,129.390625,159.29,120.03,156.87,2245.5,2067.5
2015-05-01,127.78125,156.7,118.17,154.23,2350.0,2119.0
2015-05-08,127.828125,154.76,117.86,151.98,2356.5,2028.0
2015-05-15,128.03125,153.56,117.58,150.94,2289.5,1962.5
2015-05-22,127.28125,154.0,117.45,151.33,2173.0,1938.5
2015-05-29,128.3125,155.43,118.67,152.51,2183.0,1940.0
2015-06-05,125.9375,151.65,116.11,148.42,2121.5,1890.25
2015-06-12,126.09375,151.04,117.17,145.8,2113.0,1849.0
2015-06-19,127.265625,152.04,116.85,146.46,2036.75,1776.0
2015-06-26,125.015625,150.19,115.75,145.3,2021.5,1767.75
2015-07-03,125.875,151.8,116.04,145.87,2009.75,1756.25
2015-07-10,125.734375,150.7,115.39,145.42,2002.75,1787.75
2015-07-17,126.125,152.65,115.38,147.87,2059.5,1836.0
2015-07-24,126.71875,153.85,116.74,149.24,1944.75,1711.25
2015-07-31,127.4375,154.4,117.3,149.7,1910.5,1695.5
2015-08-07,127.453125,154.43,117.59,149.48,1851.75,1723.0
2015-08-14,127.359375,154.66,117.48,149.53,1828.0,1742.75
2015-08-21,128.671875,155.61,119.15,149.78,1763.0,1700.0
2015-08-28,127.78125,153.84,118.06,148.35,1809.75,1729.5
2015-09-04,128.296875,154.63,119.18,149.23,1782.75,1654.0
2015-09-11,128.109375,155.25,119.31,150.59,1805.25,1699.5
2015-09-18,128.578125,155.1,119.16,150.83,1683.5,1688.75
2015-09-25,127.84375,155.43,119.21,150.84,1624.75,1658.5
2015-10-02,129.34375,157.24,119.73,152.73,1673.5,1632.5
2015-10-09,128.484375,155.92,118.25,151.57,1820.25,1772.5
2015-10-16,129.03125,156.91,118.95,152.61,1777.5,1802.0
2015-10-23,128.421875,157.46,118.38,153.46,1741.0,1745.5
2015-10-30,127.6875,157.21,117.75,153.25,1694.5,1685.25
2015-11-06,126.046875,155.18,116.6,151.37,1640.0,1651.0
2015-11-13,126.53125,156.92,117.16,153.25,1602.75,1599.75
2015-11-20,126.671875,158.02,118.17,154.06,1557.5,1590.0
