Date,Price,Open,High,Low,Vol.,Change %
01/03/2019,2954.6599,2978.28,2984.52,2950.8201,35085500,nan%
01/04/2019,3041.8501,2964.1499,3050.6599,2964.1499,43092600,2.95%
01/07/2019,3033.6399,3050.0,3054.72,3016.3201,32772200,-0.27%
01/08/2019,3054.9399,3032.0701,3079.1101,3032.0701,38910200,0.7%
01/09/2019,3070.24,3062.3701,3089.1699,3060.96,39381800,0.5%
01/10/2019,3075.73,3065.6599,3075.8301,3043.55,30601200,0.18%
01/11/2019,3070.04,3079.5901,3087.6599,3056.3601,32135700,-0.18%
01/14/2019,3055.1799,3060.6201,3063.3401,3037.1299,31173600,-0.48%
01/15/2019,3068.05,3066.02,3088.49,3044.53,36607500,0.42%
01/16/2019,3077.22,3073.0601,3083.5601,3062.27,37834400,0.3%
01/17/2019,3069.3501,3069.4099,3073.0,3053.0801,32652500,-0.26%
01/18/2019,3134.9199,3079.1499,3137.4199,3079.1499,47970500,2.14%
01/21/2019,3125.0701,3131.8501,3131.8501,3120.03,20273100,-0.31%
01/22/2019,3112.8,3120.3201,3122.76,3097.27,30018100,-0.39%
01/23/2019,3112.1299,3104.0801,3132.79,3094.48,0,-0.02%
01/24/2019,3126.3101,3113.8899,3136.4199,3107.6699,38509200,0.46%
01/25/2019,3163.24,3133.8101,3168.03,3133.8101,38095600,1.18%
01/28/2019,3137.27,3157.0,3157.0,3131.26,31338500,-0.82%
01/29/2019,3153.4199,3136.1499,3166.24,3130.75,29990500,0.51%
01/30/2019,3161.74,3155.8,3163.3401,3148.8401,32877000,0.26%
01/31/2019,3159.4299,3163.02,3177.1001,3129.5801,61323600,-0.07%
02/01/2019,3171.1201,3162.46,3171.95,3143.5,45249500,0.37%
02/04/2019,3165.2,3170.3,3174.23,3143.8701,33167600,-0.19%
02/05/2019,3215.04,3165.8401,3215.04,3162.78,50345900,1.57%
02/06/2019,3212.75,3208.4299,3216.1299,3199.03,39803000,-0.07%
02/07/2019,3150.76,3204.9299,3208.6699,3150.76,45534100,-1.93%
02/08/2019,3135.6201,3151.1699,3161.1399,3124.6201,38317900,-0.48%
02/11/2019,3165.6101,3142.8401,3173.3899,3142.8401,33329200,0.96%
02/12/2019,3190.75,3176.76,3200.5,3176.76,34559200,0.79%
02/13/2019,3202.3701,3194.73,3214.22,3192.03,34115900,0.36%
02/14/2019,3182.6599,3212.95,3228.1101,3182.6599,37972500,-0.62%
02/15/2019,3241.25,3179.3799,3247.3401,3175.71,53343300,1.84%
02/18/2019,3244.79,3239.1001,3248.1399,3235.5701,28073100,0.11%
02/19/2019,3239.4099,3242.79,3251.22,3223.3999,31367500,-0.17%
02/20/2019,3259.49,3241.7,3264.71,3236.74,29929400,0.62%
02/21/2019,3263.7,3261.74,3270.0701,3254.5701,33636700,0.13%
02/22/2019,3270.55,3263.49,3281.78,3259.74,26574400,0.21%
02/25/2019,3280.01,3275.02,3289.48,3275.02,33385600,0.29%
02/26/2019,3289.3201,3275.1399,3293.76,3261.03,34342200,0.28%
02/27/2019,3282.77,3283.5701,3287.47,3269.98,42644400,-0.2%
02/28/2019,3298.26,3271.1399,3301.02,3268.95,51174200,0.47%
03/01/2019,3312.1001,3306.5901,3330.48,3306.5901,38063300,0.42%
03/04/2019,3317.1201,3318.1001,3329.6499,3315.6299,28131100,0.15%
03/05/2019,3327.1899,3316.96,3330.72,3308.6399,33779500,0.3%
03/06/2019,3324.6699,3322.96,3340.6699,3317.98,35932200,-0.08%
03/07/2019,3308.8501,3321.1799,3337.6599,3293.3401,56107700,-0.48%
03/08/2019,3283.6001,3299.8501,3299.8501,3273.6799,45267900,-0.76%
03/11/2019,3304.4399,3290.76,3306.6399,3284.6799,29420800,0.63%
03/12/2019,3303.95,3312.3201,3320.24,3291.9099,30738900,-0.01%
03/13/2019,3323.45,3301.8101,3327.3501,3300.1699,32471200,0.59%
03/14/2019,3342.03,3322.9199,3349.8501,3322.9199,37300300,0.56%
03/15/2019,3386.0801,3345.0601,3394.3201,3345.0601,91316800,1.32%
03/18/2019,3387.9399,3385.46,3392.6299,3380.6499,36098000,0.05%
03/19/2019,3409.0,3389.8101,3422.3401,3386.26,34176600,0.62%
03/20/2019,3372.3799,3404.1001,3406.1201,3372.3799,32977700,-1.07%
03/21/2019,3367.3999,3372.3601,3376.21,3348.95,34551900,-0.15%
03/22/2019,3305.73,3371.6799,3377.9299,3301.6001,58032900,-1.83%
03/25/2019,3300.48,3297.4099,3313.4299,3281.97,33906700,-0.16%
03/26/2019,3319.53,3302.1299,3326.3501,3293.6799,32046100,0.58%
03/27/2019,3322.04,3322.6399,3344.6699,3302.8,44786200,0.08%
03/28/2019,3320.29,3321.3401,3337.5601,3315.9099,31273500,-0.05%
03/29/2019,3351.71,3326.45,3354.3,3326.45,35922300,0.95%
04/01/2019,3385.3799,3353.6699,3390.98,3353.6699,38161900,1.0%
04/02/2019,3395.7,3386.1799,3402.77,3382.8401,28848000,0.3%
04/03/2019,3435.5601,3399.9299,3435.8999,3399.9299,36713500,1.17%
04/04/2019,3441.9299,3434.3401,3449.4399,3425.1899,33147500,0.19%
04/05/2019,3447.47,3445.05,3453.02,3437.9199,31096400,0.16%
04/08/2019,3438.0601,3446.1499,3447.1101,3433.47,25222700,-0.27%
04/09/2019,3417.22,3437.0701,3450.6899,3416.6699,29949900,-0.61%
04/10/2019,3424.6499,3418.3601,3435.3201,3418.3601,29288800,0.22%
04/11/2019,3435.3401,3430.73,3442.25,3412.1499,36881200,0.31%
04/12/2019,3447.8301,3432.1599,3454.77,3425.8401,45588800,0.36%
04/15/2019,3450.46,3448.9099,3456.54,3443.5601,32902000,0.08%
04/16/2019,3463.3601,3450.75,3465.98,3450.75,36083200,0.37%
04/17/2019,3477.73,3466.8899,3486.76,3459.8101,40129600,0.41%
04/18/2019,3499.23,3477.6699,3506.8201,3464.6399,46027400,0.62%
04/23/2019,3503.8501,3494.3999,3506.6799,3487.1699,32101600,0.13%
04/24/2019,3502.6299,3500.5601,3515.1499,3491.8899,40509900,-0.03%
04/25/2019,3491.9199,3495.4099,3496.3999,3476.28,35609100,-0.31%
04/26/2019,3500.4099,3492.0601,3503.46,3484.1299,30966200,0.24%
04/29/2019,3501.9399,3494.47,3508.76,3481.0801,32293700,0.04%
04/30/2019,3514.6201,3499.71,3514.6201,3488.1001,39337100,0.36%
05/02/2019,3488.9299,3505.77,3511.4299,3487.75,38418000,-0.73%
05/03/2019,3502.48,3489.48,3510.04,3486.72,27229000,0.39%
05/06/2019,3462.95,3487.54,3487.54,3423.3301,32922700,-1.13%
05/07/2019,3401.1599,3460.5601,3467.6399,3396.8999,47036200,-1.78%
05/08/2019,3417.26,3400.1899,3423.96,3389.0701,40572500,0.47%
05/09/2019,3350.71,3401.99,3401.99,3346.45,42118800,-1.95%
05/10/2019,3361.05,3353.6799,3386.22,3349.8401,35957700,0.31%
05/13/2019,3320.78,3362.52,3365.51,3311.1699,39567400,-1.2%
05/14/2019,3364.3799,3324.8501,3364.3799,3324.8501,36204200,1.31%
05/15/2019,3385.78,3364.8799,3385.78,3332.6799,44240900,0.64%
05/16/2019,3438.5601,3379.7,3438.5601,3365.49,42922000,1.56%
05/17/2019,3425.6399,3433.6899,3436.45,3402.5601,49377800,-0.38%
05/20/2019,3369.78,3417.1201,3426.8701,3360.26,53670000,-1.63%
05/21/2019,3386.51,3371.26,3395.9099,3370.3799,37551500,0.5%
05/22/2019,3386.72,3384.9199,3396.8701,3359.6001,36107300,0.01%
05/23/2019,3327.2,3378.48,3378.48,3323.7,45389300,-1.76%
05/24/2019,3350.7,3330.99,3365.5801,3330.99,35226300,0.71%
05/27/2019,3364.04,3350.6001,3380.8501,3350.6001,19580400,0.4%
05/28/2019,3348.8601,3364.23,3369.9099,3337.77,52627100,-0.45%
05/29/2019,3297.8101,3337.3799,3337.3799,3288.52,38520100,-1.52%
05/31/2019,3280.4299,3312.4099,3312.4099,3258.04,49350100,-0.53%
06/03/2019,3300.22,3274.97,3300.22,3248.54,34972500,0.6%
06/04/2019,3333.49,3293.6299,3338.0801,3275.2,42640200,1.01%
06/05/2019,3339.95,3334.3999,3355.6899,3326.9299,33457800,0.19%
06/06/2019,3338.4099,3341.29,3370.8,3326.8999,41512600,-0.05%
06/07/2019,3378.3799,3341.3301,3391.05,3341.3301,31980300,1.2%
06/11/2019,3401.1001,3386.73,3418.1799,3386.73,31645900,0.67%
