Date,Price,Open,High,Low,Vol.,Change %
01/04/2019,19561.9609,19655.1309,19692.5801,19241.3691,91600000,nan%
01/07/2019,20038.9707,19944.6094,20266.2207,19920.8008,81500000,2.44%
01/08/2019,20204.0391,20224.6699,20347.9199,20106.3594,86400000,0.82%
01/09/2019,20427.0605,20366.3008,20494.3496,20331.1992,72800000,1.1%
01/10/2019,20163.8008,20270.8809,20345.9199,20101.9297,73700000,-1.29%
01/11/2019,20359.6992,20296.4492,20389.8906,20294.7402,77700000,0.97%
01/15/2019,20555.2891,20264.8203,20571.2793,20204.4297,78300000,0.96%
01/16/2019,20442.75,20575.7207,20580.25,20323.3203,69500000,-0.55%
01/17/2019,20402.2695,20544.2305,20571.75,20342.4609,63600000,-0.2%
01/18/2019,20666.0703,20472.8105,20682.1191,20454.1309,64700000,1.29%
01/21/2019,20719.3301,20848.3809,20892.6797,20678.2598,61200000,0.26%
01/22/2019,20622.9102,20770.0605,20805.9297,20558.3008,57100000,-0.47%
01/23/2019,20593.7207,20453.4395,20686.2891,20438.2207,0,-0.14%
01/24/2019,20574.6309,20506.2402,20620.7207,20467.5898,61400000,-0.09%
01/25/2019,20773.5605,20598.6406,20844.3105,20598.6406,68400000,0.97%
01/28/2019,20649.0,20746.2891,20759.4805,20624.5508,56800000,-0.6%
01/29/2019,20664.6406,20555.4395,20673.6602,20406.2207,63100000,0.08%
01/30/2019,20556.5391,20701.6191,20706.2695,20527.5293,72100000,-0.52%
01/31/2019,20773.4902,20832.9102,20869.4199,20682.9102,75700000,1.06%
02/01/2019,20788.3906,20797.0293,20929.6309,20741.9805,82200000,0.07%
02/04/2019,20883.7695,20831.9004,20922.5801,20823.6797,66600000,0.46%
02/05/2019,20844.4492,20960.4707,20981.2305,20823.1797,65500000,-0.19%
02/06/2019,20874.0605,20928.8691,20971.6602,20860.9902,68900000,0.14%
02/07/2019,20751.2793,20812.2207,20844.7695,20665.5098,70600000,-0.59%
02/08/2019,20333.1699,20510.5,20562.3906,20315.3105,86200000,-2.01%
02/12/2019,20864.2109,20442.5508,20885.8809,20428.5703,84100000,2.61%
02/13/2019,21144.4805,21029.9297,21213.7402,20992.8809,78600000,1.34%
02/14/2019,21139.7109,21147.8906,21235.6191,21102.1602,64500000,-0.02%
02/15/2019,20900.6309,21051.5098,21051.5098,20853.3301,65600000,-1.13%
02/18/2019,21281.8496,21217.3203,21306.3594,21189.9707,61800000,1.82%
02/19/2019,21302.6504,21256.5801,21344.1699,21217.1602,53600000,0.1%
02/20/2019,21431.4902,21346.0391,21494.8496,21315.3906,59700000,0.6%
02/21/2019,21464.2305,21422.3105,21553.3496,21318.7402,68400000,0.15%
02/22/2019,21425.5098,21376.3594,21451.2305,21348.6699,52400000,-0.18%
02/25/2019,21528.2305,21567.6602,21590.0293,21505.0703,51800000,0.48%
02/26/2019,21449.3906,21556.0195,21610.8809,21405.8398,56400000,-0.37%
02/27/2019,21556.5098,21504.6094,21578.8105,21492.6504,67700000,0.5%
02/28/2019,21385.1602,21536.5508,21536.5508,21364.0898,71500000,-0.79%
03/01/2019,21602.6895,21490.0195,21641.5801,21490.0195,62600000,1.02%
03/04/2019,21822.0391,21812.8105,21860.3906,21740.9199,59100000,1.02%
03/05/2019,21726.2793,21712.8008,21798.3809,21659.0391,59200000,-0.44%
03/06/2019,21596.8105,21659.0293,21684.5996,21550.4492,57100000,-0.6%
03/07/2019,21456.0098,21456.8809,21472.1602,21402.1191,75200000,-0.65%
03/08/2019,21025.5605,21339.1699,21359.3203,20993.0703,99800000,-2.01%
03/11/2019,21125.0898,21062.75,21145.9395,20938.0,55600000,0.47%
03/12/2019,21503.6895,21361.6094,21568.4805,21348.8105,67800000,1.79%
03/13/2019,21290.2402,21425.7695,21474.1699,21198.9902,66200000,-0.99%
03/14/2019,21287.0195,21474.5801,21522.75,21287.0195,64100000,-0.02%
03/15/2019,21450.8496,21376.7305,21521.6797,21374.8496,83200000,0.77%
03/18/2019,21584.5,21576.3594,21612.6699,21500.3203,55200000,0.62%
03/19/2019,21566.8496,21558.4297,21585.5508,21425.7891,59900000,-0.08%
03/20/2019,21608.9199,21548.6504,21614.1699,21499.1602,65300000,0.2%
03/22/2019,21627.3398,21713.2598,21713.2598,21542.0293,78900000,0.09%
03/25/2019,20977.1094,21267.4102,21275.4297,20911.5703,77700000,-3.01%
03/26/2019,21428.3906,21174.3398,21460.9902,21174.3398,101300000,2.15%
03/27/2019,21378.7305,21353.6094,21388.5898,21242.5195,76000000,-0.23%
03/28/2019,21033.7598,21191.3203,21191.3203,20974.1895,71100000,-1.61%
03/29/2019,21205.8105,21228.5098,21267.25,21149.4199,61600000,0.82%
04/01/2019,21509.0293,21500.8906,21682.9395,21471.1191,77400000,1.43%
04/02/2019,21505.3105,21744.6406,21744.6406,21490.5605,71000000,-0.02%
04/03/2019,21713.2109,21563.6406,21722.7207,21489.9492,68500000,0.97%
04/04/2019,21724.9492,21724.6895,21787.5996,21662.9004,57900000,0.05%
04/05/2019,21807.5,21743.1406,21839.1797,21731.3398,58500000,0.38%
04/08/2019,21761.6504,21900.5508,21900.5508,21740.5293,54600000,-0.21%
04/09/2019,21802.5898,21750.2891,21811.8809,21698.4199,54300000,0.19%
04/10/2019,21687.5703,21579.6797,21687.5703,21571.6699,58700000,-0.53%
04/11/2019,21711.3809,21662.6504,21721.4199,21627.8691,61200000,0.11%
04/12/2019,21870.5605,21782.3496,21878.7793,21698.7109,61600000,0.73%
04/15/2019,22169.1094,22122.9707,22211.0293,22102.9297,66100000,1.37%
04/16/2019,22221.6602,22108.1504,22261.3301,22095.3203,57300000,0.24%
