"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2025","0.8831","0.8815","0.8841","0.8796","","0.14%"
"03/20/2025","0.8819","0.8777","0.8844","0.8755","","0.54%"
"03/19/2025","0.8772","0.8794","0.8811","0.8762","","0.09%"
"03/18/2025","0.8764","0.8812","0.8820","0.8758","","-0.50%"
"03/17/2025","0.8808","0.8853","0.8859","0.8797","","-0.49%"
"03/14/2025","0.8851","0.8825","0.8865","0.8816","","0.36%"
"03/13/2025","0.8819","0.8822","0.8856","0.8803","","0.01%"
"03/12/2025","0.8818","0.8823","0.8854","0.8803","","-0.08%"
"03/11/2025","0.8825","0.8810","0.8837","0.8772","","0.19%"
"03/10/2025","0.8808","0.8799","0.8823","0.8758","","0.15%"
"03/07/2025","0.8795","0.8842","0.8845","0.8767","","-0.44%"
"03/06/2025","0.8834","0.8911","0.8927","0.8825","","-0.81%"
"03/05/2025","0.8906","0.8893","0.8916","0.8856","","0.11%"
"03/04/2025","0.8896","0.8970","0.8975","0.8871","","-0.79%"
"03/03/2025","0.8967","0.9018","0.9035","0.8960","","-0.72%"
"02/28/2025","0.9032","0.8997","0.9039","0.8982","","0.42%"
"02/27/2025","0.8994","0.8948","0.9007","0.8938","","0.53%"
"02/26/2025","0.8947","0.8928","0.8966","0.8916","","0.20%"
"02/25/2025","0.8929","0.8970","0.8980","0.8912","","-0.43%"
"02/24/2025","0.8968","0.8980","0.9000","0.8953","","-0.10%"
"02/21/2025","0.8977","0.8980","0.9006","0.8967","","0.01%"
"02/20/2025","0.8976","0.9046","0.9049","0.8975","","-0.74%"
"02/19/2025","0.9043","0.9033","0.9056","0.9023","","0.14%"
"02/18/2025","0.9030","0.9010","0.9043","0.8995","","0.26%"
"02/17/2025","0.9007","0.8991","0.9020","0.8979","","0.18%"
"02/14/2025","0.8991","0.9030","0.9051","0.8971","","-0.43%"
"02/13/2025","0.9030","0.9134","0.9142","0.9028","","-1.16%"
"02/12/2025","0.9136","0.9133","0.9157","0.9102","","0.08%"
"02/11/2025","0.9129","0.9113","0.9142","0.9107","","0.21%"
"02/10/2025","0.9110","0.9093","0.9124","0.9090","","0.18%"
"02/07/2025","0.9094","0.9047","0.9108","0.9044","","0.51%"
"02/06/2025","0.9048","0.9016","0.9063","0.9007","","0.34%"
"02/05/2025","0.9017","0.9052","0.9062","0.9001","","-0.39%"
"02/04/2025","0.9052","0.9122","0.9134","0.9044","","-0.54%"
"02/03/2025","0.9101","0.9115","0.9198","0.9093","","-0.07%"
"01/31/2025","0.9107","0.9093","0.9117","0.9072","","0.15%"
"01/30/2025","0.9093","0.9069","0.9105","0.9058","","0.31%"
"01/29/2025","0.9065","0.9043","0.9096","0.9031","","0.30%"
"01/28/2025","0.9038","0.9020","0.9072","0.9015","","0.21%"
"01/27/2025","0.9019","0.9060","0.9075","0.8964","","-0.42%"
"01/24/2025","0.9057","0.9078","0.9079","0.9027","","-0.14%"
"01/23/2025","0.9070","0.9070","0.9110","0.9056","","0.06%"
"01/22/2025","0.9065","0.9056","0.9077","0.9032","","0.08%"
"01/21/2025","0.9058","0.9069","0.9116","0.9051","","-0.04%"
"01/20/2025","0.9062","0.9140","0.9154","0.9055","","-0.95%"
"01/17/2025","0.9149","0.9111","0.9155","0.9096","","0.48%"
"01/16/2025","0.9105","0.9127","0.9138","0.9100","","-0.23%"
"01/15/2025","0.9126","0.9128","0.9147","0.9083","","0.07%"
"01/14/2025","0.9120","0.9166","0.9175","0.9121","","-0.49%"
"01/13/2025","0.9165","0.9166","0.9202","0.9154","","0.01%"
"01/10/2025","0.9164","0.9119","0.9190","0.9115","","0.49%"
"01/09/2025","0.9119","0.9107","0.9132","0.9098","","0.12%"
"01/08/2025","0.9108","0.9093","0.9130","0.9087","","0.18%"
"01/07/2025","0.9092","0.9047","0.9100","0.9021","","0.51%"
"01/06/2025","0.9046","0.9094","0.9106","0.9007","","-0.40%"
"01/03/2025","0.9082","0.9125","0.9126","0.9079","","-0.44%"
"01/02/2025","0.9122","0.9064","0.9139","0.9039","","0.56%"
"01/01/2025","0.9071","0.9074","0.9074","0.9071","","-0.01%"
"12/31/2024","0.9072","0.9039","0.9082","0.9022","","0.39%"
"12/30/2024","0.9037","0.9014","0.9075","0.9007","","0.22%"
"12/27/2024","0.9017","0.8986","0.9028","0.8985","","0.33%"
"12/26/2024","0.8987","0.8995","0.9011","0.8984","","-0.02%"
"12/25/2024","0.8989","0.9003","0.9008","0.8990","","-0.16%"
"12/24/2024","0.9003","0.8986","0.9014","0.8981","","0.20%"
"12/23/2024","0.8985","0.8924","0.9003","0.8917","","0.62%"
"12/20/2024","0.8930","0.8985","0.8992","0.8913","","-0.62%"
"12/19/2024","0.8986","0.9010","0.9022","0.8950","","-0.23%"
"12/18/2024","0.9007","0.8929","0.9022","0.8917","","0.91%"
"12/17/2024","0.8926","0.8939","0.8976","0.8914","","-0.16%"
"12/16/2024","0.8940","0.8932","0.8949","0.8898","","0.16%"
"12/13/2024","0.8926","0.8917","0.8946","0.8914","","0.07%"
"12/12/2024","0.8920","0.8845","0.8929","0.8816","","0.88%"
"12/11/2024","0.8842","0.8824","0.8856","0.8810","","0.19%"
"12/10/2024","0.8825","0.8789","0.8834","0.8770","","0.44%"
"12/09/2024","0.8786","0.8790","0.8805","0.8758","","0.02%"
"12/06/2024","0.8784","0.8789","0.8798","0.8735","","-0.01%"
"12/05/2024","0.8785","0.8840","0.8853","0.8778","","-0.63%"
"12/04/2024","0.8841","0.8860","0.8881","0.8826","","-0.25%"
"12/03/2024","0.8863","0.8868","0.8889","0.8830","","-0.05%"
"12/02/2024","0.8867","0.8808","0.8891","0.8802","","0.66%"
"11/29/2024","0.8809","0.8828","0.8834","0.8795","","-0.22%"
"11/28/2024","0.8828","0.8816","0.8849","0.8813","","0.12%"
"11/27/2024","0.8817","0.8870","0.8870","0.8797","","-0.51%"
"11/26/2024","0.8862","0.8866","0.8895","0.8841","","0.03%"
"11/25/2024","0.8859","0.8920","0.8930","0.8848","","-0.87%"
"11/22/2024","0.8937","0.8864","0.8959","0.8851","","0.81%"
"11/21/2024","0.8865","0.8845","0.8871","0.8820","","0.29%"
"11/20/2024","0.8839","0.8824","0.8863","0.8816","","0.19%"
"11/19/2024","0.8822","0.8831","0.8845","0.8801","","-0.09%"
"11/18/2024","0.8830","0.8882","0.8889","0.8828","","-0.56%"
"11/15/2024","0.8880","0.8900","0.8909","0.8858","","-0.24%"
"11/14/2024","0.8901","0.8856","0.8918","0.8853","","0.47%"
"11/13/2024","0.8859","0.8818","0.8866","0.8798","","0.50%"
"11/12/2024","0.8815","0.8809","0.8838","0.8802","","0.11%"
"11/11/2024","0.8805","0.8762","0.8813","0.8752","","0.59%"
"11/08/2024","0.8753","0.8729","0.8770","0.8701","","0.32%"
"11/07/2024","0.8725","0.8762","0.8776","0.8709","","-0.43%"
"11/06/2024","0.8763","0.8634","0.8774","0.8619","","1.55%"
"11/05/2024","0.8629","0.8640","0.8650","0.8615","","-0.13%"
"11/04/2024","0.8640","0.8676","0.8683","0.8615","","-0.68%"
"11/01/2024","0.8699","0.8633","0.8715","0.8631","","0.73%"
"10/31/2024","0.8636","0.8669","0.8672","0.8632","","-0.35%"
"10/30/2024","0.8666","0.8676","0.8694","0.8653","","-0.05%"
"10/29/2024","0.8670","0.8655","0.8699","0.8643","","0.21%"
"10/28/2024","0.8652","0.8668","0.8701","0.8646","","-0.15%"
"10/25/2024","0.8665","0.8658","0.8676","0.8650","","0.10%"
"10/24/2024","0.8656","0.8664","0.8673","0.8650","","-0.08%"
"10/23/2024","0.8663","0.8654","0.8687","0.8650","","0.12%"
"10/22/2024","0.8653","0.8662","0.8666","0.8644","","-0.09%"
"10/21/2024","0.8661","0.8654","0.8665","0.8633","","0.16%"
"10/18/2024","0.8647","0.8661","0.8670","0.8644","","-0.12%"
"10/17/2024","0.8657","0.8655","0.8670","0.8629","","0.03%"
"10/16/2024","0.8654","0.8619","0.8659","0.8613","","0.44%"
"10/15/2024","0.8616","0.8627","0.8640","0.8605","","-0.10%"
"10/14/2024","0.8625","0.8574","0.8643","0.8568","","0.64%"
"10/11/2024","0.8570","0.8566","0.8586","0.8558","","0.11%"
"10/10/2024","0.8561","0.8605","0.8613","0.8559","","-0.51%"
"10/09/2024","0.8605","0.8572","0.8614","0.8565","","0.43%"
"10/08/2024","0.8568","0.8545","0.8586","0.8529","","0.26%"
"10/07/2024","0.8546","0.8583","0.8601","0.8533","","-0.40%"
"10/04/2024","0.8580","0.8533","0.8608","0.8499","","0.60%"
"10/03/2024","0.8529","0.8497","0.8543","0.8492","","0.38%"
"10/02/2024","0.8497","0.8466","0.8508","0.8447","","0.38%"
"10/01/2024","0.8465","0.8456","0.8483","0.8431","","0.12%"
"09/30/2024","0.8455","0.8416","0.8475","0.8401","","0.59%"
"09/27/2024","0.8405","0.8462","0.8494","0.8401","","-0.66%"
"09/26/2024","0.8461","0.8507","0.8518","0.8452","","-0.51%"
"09/25/2024","0.8504","0.8433","0.8508","0.8414","","0.84%"
"09/24/2024","0.8433","0.8475","0.8492","0.8429","","-0.50%"
"09/23/2024","0.8475","0.8500","0.8519","0.8456","","-0.31%"
"09/20/2024","0.8501","0.8478","0.8518","0.8450","","0.28%"
"09/19/2024","0.8477","0.8464","0.8515","0.8449","","0.18%"
"09/18/2024","0.8462","0.8472","0.8480","0.8390","","-0.11%"
"09/17/2024","0.8471","0.8446","0.8478","0.8429","","0.28%"
"09/16/2024","0.8447","0.8480","0.8492","0.8433","","-0.49%"
"09/13/2024","0.8489","0.8511","0.8518","0.8443","","-0.25%"
"09/12/2024","0.8510","0.8523","0.8551","0.8505","","-0.12%"
"09/11/2024","0.8520","0.8470","0.8531","0.8421","","0.60%"
"09/10/2024","0.8469","0.8496","0.8500","0.8456","","-0.28%"
"09/09/2024","0.8493","0.8440","0.8496","0.8424","","0.77%"
"09/06/2024","0.8428","0.8440","0.8476","0.8375","","-0.14%"
"09/05/2024","0.8440","0.8465","0.8492","0.8433","","-0.28%"
"09/04/2024","0.8464","0.8504","0.8519","0.8462","","-0.46%"
