Date,TY_US10Y,RX_BUND,G_GILT,OAT_FRANCE,ZINC,LEAD
2015-01-02,127.15625,156.48,119.82,147.77,2195.5,1866.5
2015-01-05,127.765625,156.22,120.39,147.49,2174.0,1837.0
2015-01-06,128.359375,156.92,121.15,148.05,2164.0,1836.0
2015-01-07,128.46875,156.73,121.02,147.66,2122.5,1840.0
2015-01-08,128.109375,156.33,120.62,147.48,2148.25,1841.25
2015-01-09,128.578125,156.74,121.2,147.64,2146.0,1860.0
2015-01-12,129.0625,156.71,121.35,147.84,2127.5,1854.5
2015-01-13,129.3125,156.68,121.2,148.01,2070.5,1816.5
2015-01-14,129.765625,157.26,121.96,148.86,2024.5,1752.75
2015-01-15,130.34375,157.44,121.95,148.71,2054.25,1766.0
2015-01-16,129.859375,157.44,121.71,148.95,2092.0,1843.0
2015-01-19,,157.77,121.89,149.08,2074.0,1845.5
2015-01-20,129.859375,157.69,121.82,148.89,2096.0,1902.5
2015-01-21,129.4375,156.81,122.35,148.33,2137.25,1916.0
2015-01-22,129.125,157.74,121.99,149.17,2137.25,1884.25
2015-01-23,129.671875,158.73,122.47,149.79,2087.0,1840.0
2015-01-26,129.5,158.15,122.09,149.38,2128.0,1865.0
2015-01-27,129.65625,158.42,122.43,149.47,2099.75,1863.75
2015-01-28,130.46875,158.74,122.6,149.47,2110.75,1881.5
2015-01-29,130.1875,158.72,123.02,149.3,2082.25,1852.25
2015-01-30,130.875,159.39,123.87,149.95,2118.75,1850.25
2015-02-02,130.921875,159.35,123.45,149.9,2122.5,1839.75
2015-02-03,130.0625,158.91,122.62,149.53,2148.75,1840.5
2015-02-04,130.0,158.62,121.94,149.34,2132.5,1858.0
2015-02-05,129.859375,158.58,121.77,149.32,2137.25,1835.5
2015-02-06,128.71875,158.42,120.83,148.98,2154.5,1841.75
2015-02-09,128.609375,158.84,121.18,149.12,2151.5,1840.0
2015-02-10,128.359375,158.46,120.66,148.65,2104.75,1819.75
2015-02-11,128.359375,158.61,120.51,148.93,2107.5,1788.5
2015-02-12,128.421875,159.1,120.59,149.3,2136.0,1820.25
2015-02-13,128.234375,158.99,120.53,149.31,2141.25,1836.0
2015-02-16,,158.93,120.3,149.19,2138.75,1818.5
2015-02-17,127.25,158.61,119.66,148.94,2094.25,1783.75
2015-02-18,128.015625,158.53,118.82,148.97,2078.25,1804.25
