Leader,Follower,Cat_Leader,Cat_Follower,N_Methods,Robustesse,Score_Final,Lead_Days,Lead_Days_Used,Optimal_Lag,Direction,Frequency,Win_Rate,Sharpe_Ratio,Sharpe_Daily,Annual_Return,Max_Drawdown,N_Trades,Winning_Trades,Losing_Trades,Profit_Factor,Mean_Trade_Ret,Trades_Per_Year,Avg_Hold_Days,TP_Exits,SL_Exits,Leader_Rev_Exits,MaxHold_Exits,Avg_Position_Size,Corr_Filtered,Win_Rate_Str,Family,Sigma_Used,TP_Used,SL_Used,MaxHold_Used
NZDUSD,USDNOK,FX G10,FX G10,2,Moderate,0.6991,1,1,1,1,Daily,1.0,0.0,0.7993,0.007392,-0.005202,1,1,0,99.0,0.022704,0.33,5.0,1,0,0,0,1.437,53,100.0%,FX_to_FX,1.5,2.0,1.5,10
RUSSELL2000,NASDAQ100,Indices,Indices,3,Forte,0.837,1,1,1,1,Daily,0.5435,0.5818,0.6075,0.079225,-0.190701,46,25,21,1.3972,0.00529,14.98,5.2,18,16,4,8,1.316,2,54.3%,Indices_to_Indices,1.5,2.0,1.5,10
VIX,RUSSELL2000,Indices,Indices,3,Forte,0.8003,3,3,3,-1,Daily,0.5758,0.4643,0.4899,0.0484,-0.155443,33,19,14,1.3842,0.004505,10.74,5.0,13,12,2,6,1.0,0,57.6%,Indices_to_Indices,1.5,2.0,1.5,10
EURUSD,USDSEK,FX G10,FX G10,3,Forte,0.8325,1,1,1,-1,Daily,0.5,0.2022,0.3011,0.013842,-0.090773,28,14,14,1.1657,0.001518,9.12,4.8,12,13,1,2,1.353,0,50.0%,FX_to_FX,1.5,2.0,1.5,10
AUDUSD,USDSEK,FX G10,FX G10,3,Forte,0.7865,1,1,1,-1,Daily,0.4595,0.1667,0.2899,0.010955,-0.091885,37,17,20,1.1164,0.000909,12.05,4.2,12,16,5,4,1.284,0,45.9%,FX_to_FX,1.5,2.0,1.5,10
EUROSTOXX50,FTSE100,Indices,Indices,2,Moderate,0.7856,3,3,3,1,Daily,0.45,0.1926,0.225,0.012933,-0.132534,20,9,11,1.1916,0.001986,6.51,4.8,6,5,5,4,1.427,0,45.0%,Indices_to_Indices,1.5,2.0,1.5,10
SP500,NASDAQ100,Indices,Indices,3,Forte,0.8711,1,1,1,1,Daily,0.5926,0.2028,0.213,0.021795,-0.207408,27,16,11,1.163,0.002479,8.79,5.6,10,10,1,6,1.265,0,59.3%,Indices_to_Indices,1.5,2.0,1.5,10
EURGBP,GBPJPY,FX G10,FX G10,3,Forte,0.794,2,2,2,-1,Daily,0.4286,0.1235,0.1753,0.00335,-0.045704,7,3,4,1.213,0.00147,2.28,5.7,3,2,1,1,1.138,2,42.9%,FX_to_FX,1.5,2.0,1.5,10
DOWJONES,RUSSELL2000,Indices,Indices,2,Moderate,0.7615,1,1,1,1,Daily,0.4762,0.1476,0.1643,0.01579,-0.172369,21,10,11,1.135,0.002309,6.84,4.7,8,10,1,2,1.272,0,47.6%,Indices_to_Indices,1.5,2.0,1.5,10
SP500,RUSSELL2000,Indices,Indices,2,Moderate,0.7969,6,6,6,1,Daily,0.5385,-0.0113,0.0106,-0.00129,-0.195153,26,14,12,0.9915,-0.000152,8.47,4.9,7,12,2,5,1.25,0,53.8%,Indices_to_Indices,1.5,2.0,1.5,10
