sigma,tp,sl,hold,n_trades,mean_ret,win_rate,score
2.5,3.0,2.5,20,395,0.00120806,0.4633,0.022066
2.5,3.0,2.5,15,396,0.00108477,0.4697,0.02051
2.5,2.5,2.5,20,403,0.00097428,0.4913,0.018712
2.5,2.5,2.5,15,404,0.00065038,0.4876,0.012803
1.0,3.0,2.5,20,2834,0.00048355,0.4647,0.010275
1.0,1.5,2.5,20,3274,0.00020561,0.5171,0.005026
1.0,2.5,1.0,7,3674,0.00016513,0.4453,0.004381
1.0,3.0,1.0,7,3598,0.00016675,0.4408,0.004335
1.0,3.0,2.5,7,3186,0.0001541,0.4856,0.003721
1.0,3.0,2.5,10,3008,0.00013226,0.4781,0.003009
1.0,2.0,2.5,20,3079,0.00010171,0.4901,0.00234
1.0,3.0,2.5,15,2901,3.73e-05,0.4643,0.000811
1.0,3.0,2.0,7,3247,3.017e-05,0.4804,0.000743
1.0,2.5,2.5,20,2925,-4.83e-06,0.4732,-0.000106
1.0,2.5,2.5,7,3244,-1.089e-05,0.4877,-0.000266
1.0,1.5,2.5,10,3365,-2.351e-05,0.5129,-0.000596
1.0,1.5,2.5,15,3297,-2.988e-05,0.5129,-0.000738
2.5,1.5,2.5,20,416,-7.436e-05,0.5553,-0.001629
1.0,3.0,1.0,10,3468,-7.428e-05,0.4213,-0.001843
1.0,3.0,1.0,20,3352,-9.252e-05,0.4018,-0.002205
1.0,2.5,2.0,7,3318,-9.313e-05,0.4828,-0.002331
1.0,3.0,2.0,20,2931,-0.00012411,0.4572,-0.002686
1.0,3.0,2.0,10,3079,-0.00014016,0.4696,-0.003244
1.0,2.0,2.5,10,3193,-0.0001496,0.4926,-0.003619
1.0,2.0,2.5,15,3111,-0.00016507,0.4867,-0.003855
1.0,2.5,2.5,10,3076,-0.00018149,0.4811,-0.004219
1.0,1.5,2.5,7,3492,-0.00016444,0.5132,-0.004333
1.0,1.5,1.0,20,3885,-0.00018347,0.4559,-0.005125
1.0,2.5,1.0,10,3569,-0.00019943,0.4262,-0.00513
1.0,2.5,1.0,20,3472,-0.00020788,0.411,-0.005175
1.0,2.0,2.5,7,3337,-0.00022633,0.4957,-0.005731
1.0,3.0,1.5,7,3371,-0.00025161,0.4654,-0.006256
1.0,2.5,2.5,15,2977,-0.00029244,0.4709,-0.006515
1.0,1.5,2.0,7,3571,-0.00027532,0.5083,-0.007406
1.0,1.5,2.0,10,3460,-0.0002885,0.5061,-0.007456
1.0,1.5,1.0,10,3924,-0.00026463,0.458,-0.007516
1.0,1.5,2.5,5,3651,-0.00027283,0.5031,-0.007555
1.0,1.5,1.0,15,3891,-0.00027904,0.4552,-0.007832
1.0,1.5,1.0,7,3981,-0.00027144,0.465,-0.007888
1.0,2.5,1.5,7,3446,-0.0003228,0.4681,-0.008158
1.0,1.5,2.0,20,3389,-0.0003391,0.5084,-0.008508
2.5,2.0,2.5,20,406,-0.00044038,0.5148,-0.009019
1.0,3.0,1.0,15,3385,-0.00037348,0.4056,-0.00904
1.0,2.5,1.0,15,3492,-0.0003604,0.4141,-0.009053
2.5,1.5,2.5,15,416,-0.00040242,0.5529,-0.009067
1.0,2.0,1.0,7,3796,-0.00032601,0.4521,-0.009069
2.5,1.5,1.0,20,437,-0.00035063,0.4485,-0.009567
1.0,2.5,2.0,10,3164,-0.0004066,0.4738,-0.009674
1.0,3.0,2.5,5,3401,-0.00041144,0.4802,-0.010641
