Leader,Follower,Cat_Leader,Cat_Follower,Lead_Days,Cross_Corr,Best_AbsCorr,Lag_Gain,Lag_Validated,Granger_Validated,VAR_Validated,Score_Lag,Score_Granger,Score_VAR,Granger_Pval,Granger_P_Corrected,Granger_P_Reverse,Granger_Fstat,VAR_Impact,Stability_Rate,Leadership_Score,N_Methods,Score_Final,Robustesse
DAX,CAC40,Indices,Indices,1,0.9104,0.9104,0.0,True,True,True,0.6373,0.9939,0.9984,0.001598,0.006062,0.166953,625.75,0.2731,1.0,0.9522,3,0.8765,Forte
SP500,NASDAQ100,Indices,Indices,1,0.8774,0.8774,0.0,True,True,True,0.6142,0.9993,0.9999,5.6e-05,0.000675,0.365388,17764.81,0.2632,1.0,0.9384,3,0.8711,Forte
RUSSELL2000,NASDAQ100,Indices,Indices,1,0.7357,0.7357,0.0,True,True,True,0.515,0.9965,0.9994,0.000583,0.003499,0.449056,1714.97,0.2207,1.0,0.8661,3,0.837,Forte
EURUSD,USDSEK,FX G10,FX G10,1,-0.764,0.764,0.0,True,True,True,0.5348,0.9736,0.989,0.010983,0.02636,0.130034,91.05,0.2292,1.0,0.8688,3,0.8325,Forte
DAX,FTSE100,Indices,Indices,3,0.8009,0.8009,0.0,True,True,True,0.5606,0.9531,0.9746,0.025418,0.046926,0.279548,39.34,0.2403,1.0,0.877,3,0.8294,Forte
USDCAD,USDNOK,FX G10,FX G10,1,0.6288,0.6288,0.0,True,True,True,0.4401,1.0,1.0,0.0,2e-06,0.095484,8664804.39,0.1886,1.0,0.8144,3,0.8134,Forte
USDCAD,AUDUSD,FX G10,FX G10,1,-0.6635,0.6635,0.0,True,True,True,0.4645,0.9648,0.9829,0.01709,0.035156,0.917523,58.51,0.1991,1.0,0.8142,3,0.8041,Forte
VIX,RUSSELL2000,Indices,Indices,3,-0.5835,0.5835,0.0,True,True,True,0.4084,0.9939,0.9987,0.00132,0.006062,0.343038,757.3,0.175,0.8621,0.7887,3,0.8003,Forte
USDCAD,NZDUSD,FX G10,FX G10,1,-0.5877,0.5877,0.0,True,True,True,0.4114,0.9913,0.9975,0.002543,0.008719,0.737155,393.21,0.1763,0.931,0.7895,3,0.8001,Forte
EURGBP,GBPJPY,FX G10,FX G10,2,-0.5961,0.5961,0.0,True,True,True,0.4173,0.9746,0.9901,0.009882,0.025412,0.194401,101.19,0.1788,0.8621,0.7853,3,0.794,Forte
