Leader,Follower,Robustesse,Current_Regime
DAX,CAC40,Forte,Bull
SP500,NASDAQ100,Forte,Range
RUSSELL2000,NASDAQ100,Forte,Range
EURUSD,USDSEK,Forte,Range
DAX,FTSE100,Forte,Bull
USDCAD,USDNOK,Forte,Bull
USDCAD,AUDUSD,Forte,Bull
VIX,RUSSELL2000,Forte,Range
USDCAD,NZDUSD,Forte,Bull
EURGBP,GBPJPY,Forte,Range
AUDUSD,USDSEK,Forte,Bear
CAC40,EUROSTOXX50,Moderate,Bull
DAX,EUROSTOXX50,Moderate,Bull
DOWJONES,SP500,Moderate,Bull
SP500,RUSSELL2000,Moderate,Range
EUROSTOXX50,FTSE100,Moderate,Range
FTSE100,CAC40,Moderate,Bear
DOWJONES,RUSSELL2000,Moderate,Bull
DOWJONES,NASDAQ100,Moderate,Bull
RX_BUND,OAT_FRANCE,Moderate,Bull
BRENT_CRUDE,WTI_CRUDE,Moderate,Range
VIX,SP500,Moderate,Range
AUDUSD,USDNOK,Moderate,Bear
GBPJPY,GBPUSD,Moderate,Range
SILVER,PLATINUM,Moderate,Bull
EURCHF,USDCHF,Moderate,Range
NZDUSD,USDNOK,Moderate,Bull
USDCHF,EURUSD,Moderate,Bear
AUDUSD,NZDUSD,Faible,Bear
USDNOK,USDSEK,Faible,Bear
AUDJPY,AUDUSD,Faible,Bull
VIX,NASDAQ100,Faible,Range
AUDJPY,GBPJPY,Faible,Bull
USDNOK,EURUSD,Faible,Bear
DOWJONES,VIX,Faible,Bull
EURGBP,GBPUSD,Faible,Range
