Leader,Follower,Cat_Leader,Cat_Follower,Best_AbsCorr,Lead_Days,Lag_Gain,Intra_Inter,Lag_Significant,Score_Lag,Granger_Significant,Score_Granger,VAR_Confirmed,Score_VAR,Score_Final,N_Methods,Robustesse
VIX,AUDJPY,Indices,FX_G10,0.4269,1,0.4127,Inter,True,0.826003102220805,True,1.0,True,0.6,0.8191010857772816,3,Forte
SP500,USDCAD,Indices,FX_G10,0.3943,1,0.3864,Inter,True,0.7446036110836016,True,1.0,True,0.6,0.7906112638792604,3,Forte
SP500,AUDJPY,Indices,FX_G10,0.4918,1,0.4742,Inter,True,0.996496347699794,True,1.0,True,0.2,0.758773721694928,3,Forte
TY_US10Y,USDJPY,Bonds,FX_G10,0.4938,1,0.4664,Inter,True,0.9927961183294586,True,1.0,True,0.2,0.7574786414153105,3,Forte
DOWJONES,AUDJPY,Indices,FX_G10,0.4762,1,0.4448,Inter,True,0.9420147982599949,True,1.0,True,0.2,0.7397051793909981,3,Forte
BRENT_CRUDE,USDCAD,Commodites,FX_G10,0.3405,1,0.2729,Inter,True,0.5455297610546753,True,1.0,True,0.6,0.7209354163691364,3,Forte
NASDAQ100,AUDJPY,Indices,FX_G10,0.4432,1,0.4321,Inter,True,0.8724751867278218,True,1.0,True,0.2,0.7153663153547376,3,Forte
SP500,AUDUSD,Indices,FX_G10,0.4051,1,0.3782,Inter,True,0.7559500103703577,True,1.0,True,0.2,0.6745825036296251,3,Forte
RUSSELL2000,AUDJPY,Indices,FX_G10,0.4615,1,0.4404,Inter,True,0.9121992469050202,True,1.0,False,0.0,0.669269736416757,2,Modérée
SP500,NIKKEI225,Indices,Indices,0.4241,1,0.2515,Intra,True,0.6722178268464682,True,1.0,True,0.2,0.6452762393962639,3,Forte
GOLD,USDJPY,Commodites,FX_G10,0.3656,1,0.3121,Inter,True,0.6257046736677421,True,1.0,True,0.2,0.6289966357837098,3,Forte
COPPER,AUDUSD,Commodites,FX_G10,0.3699,1,0.2766,Inter,True,0.600450635190878,True,1.0,True,0.2,0.6201577223168073,3,Forte
DOWJONES,NIKKEI225,Indices,Indices,0.3918,1,0.2092,Intra,True,0.5765666954706427,True,1.0,True,0.2,0.6117983434147249,3,Forte
RUSSELL2000,AUDUSD,Indices,FX_G10,0.3938,1,0.3617,Inter,True,0.7209154151927826,True,1.0,False,0.0,0.6023203953174738,2,Modérée
RUSSELL2000,USDCAD,Indices,FX_G10,0.3879,1,0.3718,Inter,True,0.7199077485240815,True,1.0,False,0.0,0.6019677119834285,2,Modérée
DOWJONES,USDCAD,Indices,FX_G10,0.3875,1,0.3685,Inter,True,0.7161592236396368,True,1.0,False,0.0,0.6006557282738729,2,Modérée
NASDAQ100,AUDUSD,Indices,FX_G10,0.3722,1,0.3704,Inter,True,0.6911110950471424,True,1.0,False,0.0,0.5918888832664998,2,Modérée
NASDAQ100,NIKKEI225,Indices,Indices,0.4147,1,0.2803,Intra,True,0.6823496114380936,True,1.0,False,0.0,0.5888223640033328,2,Modérée
RX_BUND,EURJPY,Bonds,FX_G10,0.3207,1,0.2684,Inter,True,0.5066875457334283,True,1.0,True,0.2,0.5873406410066999,3,Forte
DOWJONES,AUDUSD,Indices,FX_G10,0.3783,1,0.3338,Inter,True,0.6679944095794436,True,1.0,False,0.0,0.5837980433528052,2,Modérée
VIX,NIKKEI225,Indices,Indices,0.3978,1,0.2576,Intra,True,0.6317786370841513,True,1.0,False,0.0,0.5711225229794529,2,Modérée
RUSSELL2000,NIKKEI225,Indices,Indices,0.4022,1,0.2427,Intra,True,0.6257254102295443,True,1.0,False,0.0,0.5690038935803405,2,Modérée
SP500,GBPJPY,Indices,FX_G10,0.3491,1,0.3406,Inter,True,0.6231214298222593,True,1.0,False,0.0,0.5680925004377907,2,Modérée
DOWJONES,GBPJPY,Indices,FX_G10,0.348,1,0.3393,Inter,True,0.619993776029425,True,1.0,False,0.0,0.5669978216102987,2,Modérée
RUSSELL2000,GBPJPY,Indices,FX_G10,0.3303,1,0.3226,Inter,True,0.5735627872064386,True,1.0,False,0.0,0.5507469755222535,2,Modérée
SILVER,AUDUSD,Commodites,FX_G10,0.3521,1,0.2742,Inter,True,0.5670515753777455,True,1.0,False,0.0,0.5484680513822109,2,Modérée
NASDAQ100,USDCAD,Indices,FX_G10,0.3299,1,0.3146,Inter,True,0.5654734634403057,True,1.0,False,0.0,0.547915712204107,2,Modérée
PLATINUM,AUDUSD,Commodites,FX_G10,0.3585,1,0.25,Inter,True,0.5559127578075835,True,1.0,False,0.0,0.5445694652326543,2,Modérée
VIX,USDCAD,Indices,FX_G10,0.3162,1,0.3124,Inter,True,0.5394416002040565,True,1.0,False,0.0,0.5388045600714197,2,Modérée
GOLD,NZDUSD,Commodites,FX_G10,0.33,1,0.2731,Inter,True,0.5273203153704686,True,1.0,False,0.0,0.5345621103796641,2,Modérée
VIX,AUDUSD,Indices,FX_G10,0.312,1,0.304,Inter,True,0.524325912458732,True,1.0,False,0.0,0.5335140693605561,2,Modérée
SP500,NZDUSD,Indices,FX_G10,0.3206,1,0.2837,Inter,True,0.5206430489734286,True,1.0,False,0.0,0.5322250671407,2,Modérée
GOLD,AUDUSD,Commodites,FX_G10,0.3273,1,0.2627,Inter,True,0.5129852163834563,True,1.0,False,0.0,0.5295448257342097,2,Modérée
VIX,ASX200,Indices,Indices,0.3563,1,0.2073,Intra,True,0.5126221235930427,True,1.0,False,0.0,0.5294177432575649,2,Modérée
SILVER,NZDUSD,Commodites,FX_G10,0.3245,1,0.2603,Inter,True,0.5058635287563752,True,1.0,False,0.0,0.5270522350647313,2,Modérée
WTI_CRUDE,USDCAD,Commodites,FX_G10,0.3187,1,0.2693,Inter,True,0.5040151129157533,True,1.0,False,0.0,0.5264052895205136,2,Modérée
RUSSELL2000,NZDUSD,Indices,FX_G10,0.3099,1,0.2767,Inter,True,0.49543350386968676,True,1.0,False,0.0,0.5234017263543903,2,Modérée
