Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency
TY_US10Y,RX_BUND,Bonds,Bonds,Intra,1,0.0,60.3258,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,G_GILT,Bonds,Bonds,Intra,4,0.0,30.4068,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,OAT_FRANCE,Bonds,Bonds,Intra,1,0.0,43.9224,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,ZINC,Bonds,Commodites,Inter,4,0.129313,1.7834,False,"{1: 0.1371, 2: 0.3452, 3: 0.5029, 4: 0.1293, 5: 0.2121}",Daily
TY_US10Y,LEAD,Bonds,Commodites,Inter,1,0.175511,1.8361,False,"{1: 0.1755, 2: 0.1862, 3: 0.3257, 4: 0.4454, 5: 0.2996}",Daily
TY_US10Y,AUDJPY,Bonds,FX_G10,Inter,1,0.0,199.9115,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,AUDUSD,Bonds,FX_G10,Inter,1,0.0,61.5347,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,BRENT_CRUDE,Bonds,Commodites,Inter,2,0.568239,0.5653,False,"{1: 0.9716, 2: 0.5682, 3: 0.7728, 4: 0.8884, 5: 0.9262}",Daily
TY_US10Y,WTI_CRUDE,Bonds,Commodites,Inter,2,0.225583,1.4899,False,"{1: 0.8371, 2: 0.2256, 3: 0.3164, 4: 0.4554, 5: 0.5107}",Daily
TY_US10Y,EURCHF,Bonds,FX_G10,Inter,1,0.0,52.3129,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,EURGBP,Bonds,FX_G10,Inter,5,0.003519,3.5254,True,"{1: 0.0086, 2: 0.0209, 3: 0.0062, 4: 0.0138, 5: 0.0035}",Daily
TY_US10Y,EURJPY,Bonds,FX_G10,Inter,1,0.0,281.0429,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,EURUSD,Bonds,FX_G10,Inter,1,0.0,143.1853,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,GBPJPY,Bonds,FX_G10,Inter,1,0.0,257.9916,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,GBPUSD,Bonds,FX_G10,Inter,3,0.0,21.9809,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,GOLD,Bonds,Commodites,Inter,1,0.004068,8.2669,True,"{1: 0.0041, 2: 0.012, 3: 0.0291, 4: 0.037, 5: 0.0402}",Daily
TY_US10Y,COPPER,Bonds,Commodites,Inter,2,0.031701,3.4556,True,"{1: 0.2775, 2: 0.0317, 3: 0.0605, 4: 0.1028, 5: 0.1387}",Daily
TY_US10Y,NAT_GAS,Bonds,Commodites,Inter,3,0.49012,0.8065,False,"{1: 0.9576, 2: 0.7427, 3: 0.4901, 4: 0.6413, 5: 0.6641}",Daily
TY_US10Y,NZDUSD,Bonds,FX_G10,Inter,1,0.0,139.7983,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,PLATINUM,Bonds,Commodites,Inter,1,0.05837,3.586,False,"{1: 0.0584, 2: 0.0845, 3: 0.1084, 4: 0.1117, 5: 0.1753}",Daily
TY_US10Y,SILVER,Bonds,Commodites,Inter,1,0.099982,2.7076,False,"{1: 0.1, 2: 0.2205, 3: 0.2856, 4: 0.1701, 5: 0.2645}",Daily
TY_US10Y,USDCAD,Bonds,FX_G10,Inter,1,0.005678,7.6616,True,"{1: 0.0057, 2: 0.0145, 3: 0.0331, 4: 0.0584, 5: 0.012}",Daily
TY_US10Y,USDCHF,Bonds,FX_G10,Inter,1,0.0,270.5797,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,USDJPY,Bonds,FX_G10,Inter,1,0.0,915.917,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,USDNOK,Bonds,FX_G10,Inter,4,0.0,11.1911,True,"{1: 0.0022, 2: 0.001, 3: 0.0024, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,USDSEK,Bonds,FX_G10,Inter,1,0.0,95.5748,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
TY_US10Y,ASX200,Bonds,Indices,Inter,4,0.090523,2.0094,False,"{1: 0.9943, 2: 0.5829, 3: 0.5233, 4: 0.0905, 5: 0.1611}",Daily
TY_US10Y,DOWJONES,Bonds,Indices,Inter,4,0.021608,2.8764,True,"{1: 0.0252, 2: 0.1052, 3: 0.0373, 4: 0.0216, 5: 0.0465}",Daily
TY_US10Y,CAC40,Bonds,Indices,Inter,4,0.45243,0.9179,False,"{1: 0.8834, 2: 0.954, 3: 0.5986, 4: 0.4524, 5: 0.4543}",Daily
TY_US10Y,FTSE100,Bonds,Indices,Inter,5,0.068989,2.0485,False,"{1: 0.467, 2: 0.335, 3: 0.1704, 4: 0.1072, 5: 0.069}",Daily
