Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency,Pval_Bonferroni,Sig_Bonferroni,Pval_BH,Sig_BH,Significant_Final
TY_US10Y,RX_BUND,Bonds,Bonds,Intra,1,0.0,60.3258,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,G_GILT,Bonds,Bonds,Intra,4,0.0,30.4068,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,OAT_FRANCE,Bonds,Bonds,Intra,1,0.0,43.9224,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,ZINC,Bonds,Commodites,Inter,4,0.129313,1.7834,False,"{1: 0.1371, 2: 0.3452, 3: 0.5029, 4: 0.1293, 5: 0.2121}",Daily,1.0,False,0.17810582342007436,False,False
TY_US10Y,LEAD,Bonds,Commodites,Inter,1,0.175511,1.8361,False,"{1: 0.1755, 2: 0.1862, 3: 0.3257, 4: 0.4454, 5: 0.2996}",Daily,1.0,False,0.22836461984196665,False,False
TY_US10Y,AUDJPY,Bonds,FX_G10,Inter,1,0.0,199.9115,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,AUDUSD,Bonds,FX_G10,Inter,1,0.0,61.5347,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,BRENT_CRUDE,Bonds,Commodites,Inter,2,0.568239,0.5653,False,"{1: 0.9716, 2: 0.5682, 3: 0.7728, 4: 0.8884, 5: 0.9262}",Daily,1.0,False,0.591648952247191,False,False
TY_US10Y,WTI_CRUDE,Bonds,Commodites,Inter,2,0.225583,1.4899,False,"{1: 0.8371, 2: 0.2256, 3: 0.3164, 4: 0.4554, 5: 0.5107}",Daily,1.0,False,0.2792932380952381,False,False
TY_US10Y,EURCHF,Bonds,FX_G10,Inter,1,0.0,52.3129,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,EURGBP,Bonds,FX_G10,Inter,5,0.003519,3.5254,True,"{1: 0.0086, 2: 0.0209, 3: 0.0062, 4: 0.0138, 5: 0.0035}",Daily,1.0,False,0.008620095867768594,True,True
TY_US10Y,EURJPY,Bonds,FX_G10,Inter,1,0.0,281.0429,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,EURUSD,Bonds,FX_G10,Inter,1,0.0,143.1853,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,GBPJPY,Bonds,FX_G10,Inter,1,0.0,257.9916,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,GBPUSD,Bonds,FX_G10,Inter,3,0.0,21.9809,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,GOLD,Bonds,Commodites,Inter,1,0.004068,8.2669,True,"{1: 0.0041, 2: 0.012, 3: 0.0291, 4: 0.037, 5: 0.0402}",Daily,1.0,False,0.009778317666126418,True,True
TY_US10Y,COPPER,Bonds,Commodites,Inter,2,0.031701,3.4556,True,"{1: 0.2775, 2: 0.0317, 3: 0.0605, 4: 0.1028, 5: 0.1387}",Daily,1.0,False,0.05694652363636364,False,False
TY_US10Y,NAT_GAS,Bonds,Commodites,Inter,3,0.49012,0.8065,False,"{1: 0.9576, 2: 0.7427, 3: 0.4901, 4: 0.6413, 5: 0.6641}",Daily,1.0,False,0.5191978842030022,False,False
TY_US10Y,NZDUSD,Bonds,FX_G10,Inter,1,0.0,139.7983,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,PLATINUM,Bonds,Commodites,Inter,1,0.05837,3.586,False,"{1: 0.0584, 2: 0.0845, 3: 0.1084, 4: 0.1117, 5: 0.1753}",Daily,1.0,False,0.09372084507042253,False,False
TY_US10Y,SILVER,Bonds,Commodites,Inter,1,0.099982,2.7076,False,"{1: 0.1, 2: 0.2205, 3: 0.2856, 4: 0.1701, 5: 0.2645}",Daily,1.0,False,0.14498368297455969,False,False
TY_US10Y,USDCAD,Bonds,FX_G10,Inter,1,0.005678,7.6616,True,"{1: 0.0057, 2: 0.0145, 3: 0.0331, 4: 0.0584, 5: 0.012}",Daily,1.0,False,0.013005867078825346,True,True
TY_US10Y,USDCHF,Bonds,FX_G10,Inter,1,0.0,270.5797,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,USDJPY,Bonds,FX_G10,Inter,1,0.0,915.917,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,USDNOK,Bonds,FX_G10,Inter,4,0.0,11.1911,True,"{1: 0.0022, 2: 0.001, 3: 0.0024, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,USDSEK,Bonds,FX_G10,Inter,1,0.0,95.5748,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,ASX200,Bonds,Indices,Inter,4,0.090523,2.0094,False,"{1: 0.9943, 2: 0.5829, 3: 0.5233, 4: 0.0905, 5: 0.1611}",Daily,1.0,False,0.1333903121272366,False,False
TY_US10Y,DOWJONES,Bonds,Indices,Inter,4,0.021608,2.8764,True,"{1: 0.0252, 2: 0.1052, 3: 0.0373, 4: 0.0216, 5: 0.0465}",Daily,1.0,False,0.04158838441558441,True,True
TY_US10Y,CAC40,Bonds,Indices,Inter,4,0.45243,0.9179,False,"{1: 0.8834, 2: 0.954, 3: 0.5986, 4: 0.4524, 5: 0.4543}",Daily,1.0,False,0.48728289244186046,False,False
TY_US10Y,FTSE100,Bonds,Indices,Inter,5,0.068989,2.0485,False,"{1: 0.467, 2: 0.335, 3: 0.1704, 4: 0.1072, 5: 0.069}",Daily,1.0,False,0.10694738284518827,False,False
TY_US10Y,DAX,Bonds,Indices,Inter,1,0.588229,0.2932,False,"{1: 0.5882, 2: 0.689, 3: 0.6055, 4: 0.7057, 5: 0.7197}",Daily,1.0,False,0.6089198547486033,False,False
TY_US10Y,SP500,Bonds,Indices,Inter,4,0.012138,3.2136,True,"{1: 0.0436, 2: 0.1563, 3: 0.0326, 4: 0.0121, 5: 0.0225}",Daily,1.0,False,0.025158763636363636,True,True
TY_US10Y,HANGSENG,Bonds,Indices,Inter,4,0.215917,1.4468,False,"{1: 0.6772, 2: 0.7233, 3: 0.3416, 4: 0.2159, 5: 0.3187}",Daily,1.0,False,0.26957792249368157,False,False
TY_US10Y,NIKKEI225,Bonds,Indices,Inter,1,0.0,56.5276,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
TY_US10Y,NASDAQ100,Bonds,Indices,Inter,4,0.024164,2.8105,True,"{1: 0.0573, 2: 0.1732, 3: 0.0764, 4: 0.0242, 5: 0.0305}",Daily,1.0,False,0.045677357142857145,True,True
TY_US10Y,RUSSELL2000,Bonds,Indices,Inter,3,0.006466,4.1034,True,"{1: 0.0302, 2: 0.0336, 3: 0.0065, 4: 0.0099, 5: 0.0209}",Daily,1.0,False,0.014563240121580548,True,True
TY_US10Y,EUROSTOXX50,Bonds,Indices,Inter,5,0.425138,0.9853,False,"{1: 0.713, 2: 0.8794, 3: 0.4595, 4: 0.4308, 5: 0.4251}",Daily,1.0,False,0.4622556977256053,False,False
TY_US10Y,VIX,Bonds,Indices,Inter,2,0.12096,2.1139,False,"{1: 0.1588, 2: 0.121, 3: 0.2094, 4: 0.1646, 5: 0.1309}",Daily,1.0,False,0.1689563807728558,False,False
RX_BUND,TY_US10Y,Bonds,Bonds,Intra,2,0.102414,2.2806,False,"{1: 0.2382, 2: 0.1024, 3: 0.1486, 4: 0.1914, 5: 0.2036}",Daily,1.0,False,0.1473568427184466,False,False
RX_BUND,G_GILT,Bonds,Bonds,Intra,1,0.000613,11.7627,True,"{1: 0.0006, 2: 0.003, 3: 0.0071, 4: 0.0015, 5: 0.0023}",Daily,0.9084660000000001,False,0.0018464756097560976,True,True
RX_BUND,OAT_FRANCE,Bonds,Bonds,Intra,1,0.431097,0.62,False,"{1: 0.4311, 2: 0.7196, 3: 0.8271, 4: 0.6669, 5: 0.6586}",Daily,1.0,False,0.4673633899049013,False,False
RX_BUND,ZINC,Bonds,Commodites,Inter,1,0.04255,4.1169,True,"{1: 0.0425, 2: 0.1041, 3: 0.1393, 4: 0.1362, 5: 0.175}",Daily,1.0,False,0.07239850746268656,False,False
RX_BUND,LEAD,Bonds,Commodites,Inter,1,0.008657,6.9019,True,"{1: 0.0087, 2: 0.0322, 3: 0.0495, 4: 0.06, 5: 0.0812}",Daily,1.0,False,0.018784295754026355,True,True
RX_BUND,AUDJPY,Bonds,FX_G10,Inter,1,0.0,102.0916,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
RX_BUND,AUDUSD,Bonds,FX_G10,Inter,1,0.183759,1.7678,False,"{1: 0.1838, 2: 0.4047, 3: 0.5586, 4: 0.7293, 5: 0.6184}",Daily,1.0,False,0.23558928373702423,False,False
RX_BUND,BRENT_CRUDE,Bonds,Commodites,Inter,4,0.219584,1.4355,False,"{1: 0.8662, 2: 0.9146, 3: 0.7706, 4: 0.2196, 5: 0.2433}",Daily,1.0,False,0.2732355062972292,False,False
RX_BUND,WTI_CRUDE,Bonds,Commodites,Inter,4,0.157831,1.6545,False,"{1: 0.901, 2: 0.8225, 3: 0.4943, 4: 0.1578, 5: 0.1579}",Daily,1.0,False,0.20953383706356316,False,False
RX_BUND,EURCHF,Bonds,FX_G10,Inter,1,0.0,51.4276,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
RX_BUND,EURGBP,Bonds,FX_G10,Inter,1,0.002566,9.1092,True,"{1: 0.0026, 2: 0.0108, 3: 0.0277, 4: 0.062, 5: 0.0343}",Daily,1.0,False,0.006536587628865979,True,True
RX_BUND,EURJPY,Bonds,FX_G10,Inter,1,0.0,330.2767,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
RX_BUND,EURUSD,Bonds,FX_G10,Inter,1,0.000797,11.2715,True,"{1: 0.0008, 2: 0.002, 3: 0.0052, 4: 0.0071, 5: 0.0104}",Daily,1.0,False,0.002343559523809524,True,True
RX_BUND,GBPJPY,Bonds,FX_G10,Inter,1,0.0,147.2228,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
RX_BUND,GBPUSD,Bonds,FX_G10,Inter,2,0.496959,0.6994,False,"{1: 0.7426, 2: 0.497, 3: 0.6878, 4: 0.8234, 5: 0.7296}",Daily,1.0,False,0.5241944754448399,False,False
RX_BUND,GOLD,Bonds,Commodites,Inter,2,0.243978,1.4114,False,"{1: 0.9754, 2: 0.244, 3: 0.4246, 4: 0.5084, 5: 0.6402}",Daily,1.0,False,0.29637327540983605,False,False
RX_BUND,COPPER,Bonds,Commodites,Inter,1,0.411505,0.6746,False,"{1: 0.4115, 2: 0.6619, 3: 0.8082, 4: 0.9069, 5: 0.6756}",Daily,1.0,False,0.4500741033210332,False,False
RX_BUND,NAT_GAS,Bonds,Commodites,Inter,2,0.845446,0.1679,False,"{1: 0.8933, 2: 0.8454, 3: 0.9398, 4: 0.9715, 5: 0.9773}",Daily,1.0,False,0.8494582861016949,False,False
RX_BUND,NZDUSD,Bonds,FX_G10,Inter,1,0.000123,14.7816,True,"{1: 0.0001, 2: 0.0006, 3: 0.0007, 4: 0.0017, 5: 0.002}",Daily,0.182286,False,0.00040508000000000005,True,True
RX_BUND,PLATINUM,Bonds,Commodites,Inter,5,0.435595,0.9685,False,"{1: 0.6891, 2: 0.9276, 3: 0.552, 4: 0.4885, 5: 0.4356}",Daily,1.0,False,0.47154988312636964,False,False
RX_BUND,SILVER,Bonds,Commodites,Inter,2,0.653006,0.4262,False,"{1: 0.8355, 2: 0.653, 3: 0.7966, 4: 0.7792, 5: 0.8231}",Daily,1.0,False,0.6697265688581314,False,False
RX_BUND,USDCAD,Bonds,FX_G10,Inter,2,0.392212,0.9363,False,"{1: 0.4662, 2: 0.3922, 3: 0.5551, 4: 0.6911, 5: 0.6325}",Daily,1.0,False,0.4328057959791512,False,False
RX_BUND,USDCHF,Bonds,FX_G10,Inter,1,0.002898,8.8859,True,"{1: 0.0029, 2: 0.0061, 3: 0.0137, 4: 0.0265, 5: 0.0456}",Daily,1.0,False,0.007291741935483871,True,True
RX_BUND,USDJPY,Bonds,FX_G10,Inter,1,0.0,216.9294,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
RX_BUND,USDNOK,Bonds,FX_G10,Inter,3,3e-06,9.5757,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.004446,True,1.145876288659794e-05,True,True
RX_BUND,USDSEK,Bonds,FX_G10,Inter,1,0.001839,9.7217,True,"{1: 0.0018, 2: 0.0069, 3: 0.0143, 4: 0.0161, 5: 0.0275}",Daily,1.0,False,0.004900976660682226,True,True
