Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency,Pval_Bonferroni,Sig_Bonferroni,Pval_BH,Sig_BH,Significant_Final
TY_US10Y,RX_BUND,Bonds,Bonds,Intra,1,0.0,60.3258,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
CAC40,GBPJPY,Indices,FX_G10,Inter,1,0.0,282.3531,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
CAC40,EURJPY,Indices,FX_G10,Inter,1,0.0,90.342,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
CAC40,EURGBP,Indices,FX_G10,Inter,3,0.0,51.834,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
CAC40,AUDUSD,Indices,FX_G10,Inter,3,0.0,64.7187,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
CAC40,AUDJPY,Indices,FX_G10,Inter,2,0.0,193.4974,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,EUROSTOXX50,Indices,Indices,Intra,5,0.0,25.9117,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,NIKKEI225,Indices,Indices,Intra,2,0.0,320.4182,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,HANGSENG,Indices,Indices,Intra,5,0.0,48.4964,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,DAX,Indices,Indices,Intra,5,0.0,24.3707,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,FTSE100,Indices,Indices,Intra,5,0.0,26.8702,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,CAC40,Indices,Indices,Intra,5,0.0,27.5184,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,ASX200,Indices,Indices,Intra,5,0.0,139.5829,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,USDSEK,Indices,FX_G10,Inter,2,0.0,99.8188,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,USDNOK,Indices,FX_G10,Inter,5,0.0,102.923,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,USDJPY,Indices,FX_G10,Inter,3,0.0,41.8677,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,USDCAD,Indices,FX_G10,Inter,2,0.0,266.3129,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,NZDUSD,Indices,FX_G10,Inter,3,0.0,103.0547,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,GBPUSD,Indices,FX_G10,Inter,3,0.0,67.038,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
DOWJONES,GBPJPY,Indices,FX_G10,Inter,1,0.0,390.1651,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily,0.0,True,0.0,True,True
