Asset1,Asset2,Correlation,AbsCorr
AUDJPY,NIKKEI225,0.4249,0.4249
GBPJPY,NIKKEI225,0.3356,0.3356
TY_US10Y,GOLD,0.3167,0.3167
COPPER,FTSE100,0.298,0.298
BRENT_CRUDE,FTSE100,0.2937,0.2937
AUDUSD,HANGSENG,0.2928,0.2928
COPPER,EUROSTOXX50,0.2802,0.2802
COPPER,CAC40,0.2772,0.2772
BRENT_CRUDE,DOWJONES,0.2754,0.2754
AUDJPY,HANGSENG,0.2687,0.2687
COPPER,DAX,0.2682,0.2682
WTI_CRUDE,FTSE100,0.2676,0.2676
BRENT_CRUDE,RUSSELL2000,0.2674,0.2674
BRENT_CRUDE,SP500,0.2661,0.2661
USDJPY,NIKKEI225,0.2616,0.2616
WTI_CRUDE,DOWJONES,0.2589,0.2589
PLATINUM,FTSE100,0.258,0.258
COPPER,HANGSENG,0.2545,0.2545
AUDUSD,NIKKEI225,0.253,0.253
PLATINUM,RUSSELL2000,0.2497,0.2497
EURJPY,NIKKEI225,0.2496,0.2496
WTI_CRUDE,SP500,0.2477,0.2477
WTI_CRUDE,RUSSELL2000,0.247,0.247
COPPER,RUSSELL2000,0.2441,0.2441
BRENT_CRUDE,CAC40,0.2429,0.2429
NZDUSD,HANGSENG,0.2421,0.2421
ZINC,HANGSENG,0.2405,0.2405
COPPER,DOWJONES,0.2391,0.2391
PLATINUM,DOWJONES,0.2386,0.2386
COPPER,SP500,0.2383,0.2383
PLATINUM,DAX,0.2369,0.2369
PLATINUM,SP500,0.2345,0.2345
USDCAD,HANGSENG,-0.2331,0.2331
PLATINUM,EUROSTOXX50,0.2317,0.2317
BRENT_CRUDE,EUROSTOXX50,0.2317,0.2317
AUDJPY,ASX200,0.2276,0.2276
PLATINUM,CAC40,0.2258,0.2258
ZINC,FTSE100,0.2241,0.2241
BRENT_CRUDE,VIX,-0.2211,0.2211
COPPER,VIX,-0.2186,0.2186
USDCAD,ASX200,-0.2163,0.2163
WTI_CRUDE,CAC40,0.2137,0.2137
WTI_CRUDE,EUROSTOXX50,0.2077,0.2077
ZINC,CAC40,0.207,0.207
USDCAD,NIKKEI225,-0.207,0.207
ZINC,EUROSTOXX50,0.2055,0.2055
AUDUSD,ASX200,0.2032,0.2032
USDNOK,HANGSENG,-0.2028,0.2028
G_GILT,GOLD,0.2015,0.2015
BRENT_CRUDE,DAX,0.2005,0.2005
COPPER,NASDAQ100,0.1987,0.1987
WTI_CRUDE,VIX,-0.198,0.198
TY_US10Y,FTSE100,-0.1969,0.1969
PLATINUM,NASDAQ100,0.1967,0.1967
TY_US10Y,CAC40,-0.1966,0.1966
ZINC,DAX,0.1946,0.1946
RX_BUND,GOLD,0.1944,0.1944
BRENT_CRUDE,NASDAQ100,0.1927,0.1927
TY_US10Y,EUROSTOXX50,-0.1924,0.1924
USDSEK,HANGSENG,-0.1878,0.1878
USDNOK,ASX200,-0.1871,0.1871
WTI_CRUDE,NASDAQ100,0.185,0.185
PLATINUM,HANGSENG,0.1845,0.1845
OAT_FRANCE,GOLD,0.1837,0.1837
TY_US10Y,BRENT_CRUDE,-0.1829,0.1829
TY_US10Y,DAX,-0.1815,0.1815
SILVER,RUSSELL2000,0.1798,0.1798
WTI_CRUDE,DAX,0.1781,0.1781
NZDUSD,NIKKEI225,0.177,0.177
TY_US10Y,DOWJONES,-0.1763,0.1763
GBPUSD,HANGSENG,0.1752,0.1752
LEAD,HANGSENG,0.1748,0.1748
PLATINUM,ASX200,0.1723,0.1723
AUDJPY,DAX,0.1713,0.1713
PLATINUM,VIX,-0.169,0.169
NZDUSD,ASX200,0.1687,0.1687
AUDJPY,EUROSTOXX50,0.1686,0.1686
AUDJPY,CAC40,0.1658,0.1658
TY_US10Y,VIX,0.1636,0.1636
TY_US10Y,SILVER,0.1633,0.1633
GBPJPY,ASX200,0.1628,0.1628
SILVER,SP500,0.1612,0.1612
AUDJPY,FTSE100,0.1606,0.1606
GBPJPY,HANGSENG,0.1601,0.1601
ZINC,VIX,-0.1595,0.1595
ZINC,SP500,0.1586,0.1586
ZINC,RUSSELL2000,0.1578,0.1578
TY_US10Y,WTI_CRUDE,-0.1565,0.1565
TY_US10Y,SP500,-0.1538,0.1538
ZINC,DOWJONES,0.1506,0.1506
SILVER,FTSE100,0.1496,0.1496
SILVER,NASDAQ100,0.1484,0.1484
BRENT_CRUDE,ASX200,0.1478,0.1478
SILVER,DOWJONES,0.1474,0.1474
LEAD,CAC40,0.1472,0.1472
LEAD,FTSE100,0.1452,0.1452
GBPUSD,NIKKEI225,0.1439,0.1439
EURCHF,NIKKEI225,0.1433,0.1433
COPPER,ASX200,0.1417,0.1417
LEAD,EUROSTOXX50,0.1397,0.1397
RX_BUND,EUROSTOXX50,-0.1395,0.1395
ZINC,NASDAQ100,0.1388,0.1388
SILVER,DAX,0.1356,0.1356
EURUSD,HANGSENG,0.1341,0.1341
EURGBP,NIKKEI225,-0.1336,0.1336
RX_BUND,CAC40,-0.1331,0.1331
RX_BUND,FTSE100,-0.1329,0.1329
EURJPY,HANGSENG,0.1329,0.1329
COPPER,NIKKEI225,0.1328,0.1328
LEAD,DAX,0.1321,0.1321
GBPUSD,ASX200,0.1315,0.1315
SILVER,EUROSTOXX50,0.1309,0.1309
SILVER,HANGSENG,0.1309,0.1309
TY_US10Y,RUSSELL2000,-0.1289,0.1289
RX_BUND,DAX,-0.1268,0.1268
LEAD,NZDUSD,0.1244,0.1244
PLATINUM,NIKKEI225,0.124,0.124
BRENT_CRUDE,HANGSENG,0.1237,0.1237
LEAD,AUDUSD,0.1212,0.1212
GBPJPY,DAX,0.1203,0.1203
OAT_FRANCE,SILVER,0.1195,0.1195
ZINC,ASX200,0.1195,0.1195
USDSEK,ASX200,-0.1189,0.1189
USDCHF,NIKKEI225,0.1175,0.1175
SILVER,CAC40,0.1175,0.1175
EURGBP,ASX200,-0.1174,0.1174
LEAD,VIX,-0.1155,0.1155
ZINC,NIKKEI225,0.1151,0.1151
WTI_CRUDE,ASX200,0.1147,0.1147
AUDUSD,DAX,0.1145,0.1145
AUDUSD,FTSE100,0.1141,0.1141
ZINC,NZDUSD,0.1132,0.1132
USDNOK,CAC40,-0.112,0.112
