Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Static,Mean_1M,Std_1M,Min_1M,Max_1M,Range_1M,Mean_3M,Std_3M,Min_3M,Max_3M,Range_3M,Mean_6M,Std_6M,Min_6M,Max_6M,Range_6M,AbsCorr_Static,Stability,Stability_empirique,Score_Corr,Score_Stab,Score_Total
AUDJPY,NIKKEI225,FX_G10,Indices,Inter,0.4249,0.3734,0.2356,-0.4314,0.9256,1.357,0.3919,0.1703,-0.1407,0.8664,1.0072,0.413,0.1304,0.0575,0.7689,0.7114,0.4249,Moderate,Unstable,1.0,0.6790510295434198,0.8716204118173678
GBPJPY,NIKKEI225,FX_G10,Indices,Inter,0.3356,0.3362,0.2349,-0.4593,0.8472,1.3065,0.3473,0.1446,-0.1615,0.6925,0.854,0.3556,0.1016,0.0854,0.5831,0.4977,0.3356,Stable,Moderate,0.789832901859261,0.7940913160250671,0.7915362675255835
COPPER,FTSE100,Commodites,Indices,Inter,0.298,0.2992,0.2396,-0.6233,0.8439,1.4672,0.3095,0.1576,-0.1334,0.6454,0.7788,0.3147,0.1173,0.018,0.5456,0.5276,0.298,Moderate,Moderate,0.7013414921157919,0.7358997314234557,0.7151647878388574
AUDUSD,HANGSENG,FX_G10,Indices,Inter,0.2928,0.2488,0.2439,-0.5017,0.8824,1.3841,0.2705,0.1567,-0.1507,0.8157,0.9664,0.2819,0.1212,-0.002,0.6571,0.6591,0.2928,Moderate,Moderate,0.6891033184278654,0.7399283795881826,0.7094333428919923
ZINC,HANGSENG,Commodites,Indices,Inter,0.2405,0.2222,0.208,-0.6051,0.7472,1.3524,0.233,0.1273,-0.1863,0.5453,0.7316,0.236,0.0895,0.0092,0.4852,0.476,0.2405,Stable,Stable,0.5660155330666039,0.8715308863025962,0.6882216743610008
COPPER,HANGSENG,Commodites,Indices,Inter,0.2545,0.2168,0.2268,-0.4966,0.8438,1.3404,0.2392,0.1448,-0.2057,0.6513,0.8569,0.2499,0.1162,0.0022,0.5685,0.5663,0.2545,Stable,Moderate,0.5989644622264062,0.79319606087735,0.6766571016867837
COPPER,EUROSTOXX50,Commodites,Indices,Inter,0.2802,0.2758,0.2577,-0.683,0.8442,1.5272,0.2832,0.1713,-0.1811,0.6705,0.8516,0.2875,0.1367,-0.0767,0.5997,0.6764,0.2802,Moderate,Unstable,0.6594492821840433,0.6745747538048343,0.6654994708323597
COPPER,CAC40,Commodites,Indices,Inter,0.2772,0.2734,0.249,-0.6877,0.888,1.5757,0.2803,0.1709,-0.1598,0.6586,0.8183,0.2861,0.1342,-0.0876,0.5504,0.638,0.2772,Moderate,Unstable,0.6523887973640857,0.6763652641002686,0.6619793840585588
TY_US10Y,GOLD,Bonds,Commodites,Inter,0.3167,0.3548,0.2704,-0.5352,0.9031,1.4383,0.3566,0.2041,-0.2455,0.7693,1.0148,0.3539,0.1754,-0.0336,0.7134,0.747,0.3167,Moderate,Unstable,0.7453518474935279,0.52775290957923,0.6583122723278088
USDCAD,HANGSENG,FX_G10,Indices,Inter,-0.2331,-0.2194,0.2334,-0.8312,0.5494,1.3807,-0.2332,0.1398,-0.5503,0.1277,0.678,-0.237,0.0944,-0.4917,0.0312,0.5229,0.2331,Stable,Stable,0.5485996705107085,0.8155774395702775,0.6553907781345361
AUDJPY,HANGSENG,FX_G10,Indices,Inter,0.2687,0.2212,0.2508,-0.6285,0.8598,1.4883,0.2411,0.1707,-0.1867,0.7107,0.8974,0.2589,0.144,-0.055,0.5881,0.6431,0.2687,Moderate,Unstable,0.6323840903742057,0.6772605192479857,0.6503346619237177
COPPER,RUSSELL2000,Commodites,Indices,Inter,0.2441,0.2486,0.2454,-0.5896,0.7999,1.3895,0.2508,0.1554,-0.2431,0.5791,0.8222,0.2564,0.1128,-0.0613,0.5156,0.5769,0.2441,Moderate,Moderate,0.5744881148505531,0.7457475380483437,0.6429918841296693
LEAD,HANGSENG,Commodites,Indices,Inter,0.1748,0.1667,0.2161,-0.518,0.6803,1.1982,0.1764,0.1042,-0.2142,0.4382,0.6524,0.1797,0.063,-0.0439,0.3543,0.3982,0.1748,Stable,Stable,0.41139091550953166,0.9749328558639212,0.6368076916512875
COPPER,DAX,Commodites,Indices,Inter,0.2682,0.2618,0.2578,-0.6655,0.8568,1.5223,0.2726,0.1785,-0.1837,0.65,0.8337,0.2777,0.1443,-0.0801,0.5809,0.661,0.2682,Moderate,Unstable,0.6312073429042128,0.6423455684870188,0.6356626331373352
BRENT_CRUDE,FTSE100,Commodites,Indices,Inter,0.2937,0.2369,0.271,-0.5788,0.8511,1.4298,0.2488,0.1995,-0.3457,0.7569,1.1026,0.258,0.1586,-0.2604,0.6612,0.9216,0.2937,Moderate,Unstable,0.6912214638738527,0.5483437779767233,0.634070389515001
COPPER,SP500,Commodites,Indices,Inter,0.2383,0.2516,0.2511,-0.6163,0.8214,1.4377,0.2556,0.1584,-0.231,0.6216,0.8525,0.2541,0.1081,-0.0369,0.5003,0.5373,0.2383,Moderate,Moderate,0.560837844198635,0.7323187108325873,0.629430190852216
ZINC,FTSE100,Commodites,Indices,Inter,0.2241,0.2315,0.2367,-0.5854,0.7912,1.3766,0.2364,0.1474,-0.2416,0.5899,0.8315,0.2382,0.0956,-0.0336,0.4616,0.4952,0.2241,Stable,Moderate,0.5274182160508355,0.7815577439570277,0.6290740272133124
NZDUSD,HANGSENG,FX_G10,Indices,Inter,0.2421,0.2102,0.2439,-0.5213,0.859,1.3803,0.2246,0.1643,-0.1649,0.767,0.9319,0.2344,0.1286,-0.0285,0.6134,0.6419,0.2421,Moderate,Moderate,0.5697811249705813,0.7059086839749329,0.6242321485723219
