Pair,Label,Mean_3M,Std_3M,Min_3M,Max_3M
AUDJPY_NIKKEI225,FX→Indices,0.3935,0.171,-0.1407,0.8664
GBPJPY_NIKKEI225,FX→Indices,0.3472,0.1445,-0.1615,0.6925
USDJPY_NIKKEI225,FX→Indices,0.2736,0.21,-0.3208,0.7537
EURJPY_NIKKEI225,FX→Indices,0.278,0.1739,-0.4279,0.6593
TY_US10Y_GOLD,Bonds→Commo,0.356,0.2038,-0.2455,0.7693
TY_US10Y_SP500,Bonds→Indices,-0.1766,0.2943,-0.6731,0.5386
RX_BUND_DAX,Bonds→Indices,-0.1279,0.2575,-0.7376,0.6116
BRENT_CRUDE_SP500,Commo→Indices,0.2193,0.2114,-0.3751,0.7005
COPPER_EUROSTOXX50,Commo→Indices,0.2826,0.1714,-0.1811,0.6705
BRENT_CRUDE_FTSE100,Commo→Indices,0.2477,0.1992,-0.3457,0.7569
GOLD_SILVER,Commo→Commo,0.7836,0.0739,0.47,0.9194
ZINC_LEAD,Commo→Commo,0.5072,0.1567,0.0756,0.8208
SP500_DAX,Indices→Indices,0.5181,0.1454,-0.313,0.8135
NIKKEI225_HANGSENG,Indices→Indices,0.3976,0.177,-0.1466,0.7282
