Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Lag0,Corr_Lag-5,Corr_Lag-4,Corr_Lag-3,Corr_Lag-2,Corr_Lag-1,Corr_Lag+1,Corr_Lag+2,Corr_Lag+3,Corr_Lag+4,Corr_Lag+5,Best_Lag,Best_Corr,Best_AbsCorr,Leader,Follower,Lead_Days,Lag_Gain
TY_US10Y,USDJPY,Bonds,FX_G10,Inter,-0.0274,-0.027,0.0307,-0.0254,0.0041,-0.0056,-0.4938,-0.0118,-0.0003,0.015,-0.0248,1,-0.4938,0.4938,TY_US10Y,USDJPY,1,0.4664
AUDJPY,SP500,FX_G10,Indices,Inter,0.0176,-0.0222,-0.0054,0.036,-0.0403,0.4918,0.0555,-0.0363,0.0229,-0.0133,-0.011,-1,0.4918,0.4918,SP500,AUDJPY,1,0.4742
AUDJPY,DOWJONES,FX_G10,Indices,Inter,0.0314,-0.0258,-0.0117,0.0417,-0.0439,0.4762,0.0598,-0.0291,0.0142,-0.0028,-0.0105,-1,0.4762,0.4762,DOWJONES,AUDJPY,1,0.4448
AUDJPY,RUSSELL2000,FX_G10,Indices,Inter,0.0211,-0.0135,0.0065,0.0278,-0.0143,0.4615,0.0507,-0.031,0.0295,-0.0118,-0.0061,-1,0.4615,0.4615,RUSSELL2000,AUDJPY,1,0.4404
AUDJPY,NASDAQ100,FX_G10,Indices,Inter,-0.0111,-0.0192,0.0091,0.0239,-0.0344,0.4432,0.0451,-0.04,0.0224,-0.0232,-0.0134,-1,0.4432,0.4432,NASDAQ100,AUDJPY,1,0.4321
AUDJPY,VIX,FX_G10,Indices,Inter,-0.0142,0.0034,-0.0175,-0.0379,-0.0022,-0.4269,-0.0072,0.036,-0.0094,0.0351,0.0001,-1,-0.4269,0.4269,VIX,AUDJPY,1,0.4127
SP500,NIKKEI225,Indices,Indices,Intra,0.1726,0.0058,-0.0231,-0.0075,-0.0011,0.0687,0.4241,0.0139,-0.0046,-0.0053,-0.0062,1,0.4241,0.4241,SP500,NIKKEI225,1,0.2515
NIKKEI225,NASDAQ100,Indices,Indices,Intra,0.1344,0.0023,0.0033,-0.0034,0.0191,0.4147,0.054,-0.0065,-0.0146,-0.0165,0.0027,-1,0.4147,0.4147,NASDAQ100,NIKKEI225,1,0.2803
AUDUSD,SP500,FX_G10,Indices,Inter,0.0269,-0.0229,0.0117,0.0441,0.0407,0.4051,0.0578,-0.0515,0.0268,-0.0184,0.0002,-1,0.4051,0.4051,SP500,AUDUSD,1,0.3782
NIKKEI225,RUSSELL2000,Indices,Indices,Intra,0.1595,0.0023,0.0051,-0.0029,0.0445,0.4022,0.0677,0.0012,-0.0013,-0.0174,0.0017,-1,0.4022,0.4022,RUSSELL2000,NIKKEI225,1,0.2427
NIKKEI225,VIX,Indices,Indices,Intra,-0.1402,-0.0094,-0.0258,-0.0038,-0.0539,-0.3978,-0.0053,0.0317,0.0249,0.0287,0.0262,-1,-0.3978,0.3978,VIX,NIKKEI225,1,0.2576
USDCAD,SP500,FX_G10,Indices,Inter,-0.0079,0.0463,-0.033,0.0252,-0.0184,-0.3943,-0.0501,0.0221,-0.0105,0.0448,-0.0048,-1,-0.3943,0.3943,SP500,USDCAD,1,0.3864
