Asset1,Asset2,Optimal_Lag,Impact_A1_on_A2,Impact_A2_on_A1,VAR_Leader,VAR_Follower,GC_pval_A1→A2,GC_pval_A2→A1,Bidirectional,AIC,Frequency
DOWJONES,AUDJPY,5,0.380099,0.201539,DOWJONES,AUDJPY,0.0,0.044627,True,-19.1882,Daily
SP500,AUDJPY,4,0.379218,0.187943,SP500,AUDJPY,0.0,0.009945,True,-19.1526,Daily
NASDAQ100,AUDJPY,2,0.256744,0.134138,NASDAQ100,AUDJPY,0.0,0.035856,True,-18.648,Daily
VIX,AUDJPY,4,0.055145,1.300985,AUDJPY,VIX,0.0,0.041457,True,-15.1229,Daily
SP500,NIKKEI225,5,0.851757,0.143161,SP500,NIKKEI225,0.0,0.002486,True,-18.0565,Daily
DOWJONES,NIKKEI225,5,0.780027,0.122019,DOWJONES,NIKKEI225,0.0,0.003912,True,-18.0719,Daily
SP500,AUDUSD,4,0.374725,0.239117,SP500,AUDUSD,0.0,0.003923,True,-19.3289,Daily
SP500,USDCAD,5,0.228156,0.339868,USDCAD,SP500,0.0,0.008347,True,-20.0352,Daily
TY_US10Y,USDJPY,3,0.959102,0.044508,TY_US10Y,USDJPY,0.0,0.159594,False,-21.9982,Daily
RX_BUND,EURJPY,1,0.44219,0.006198,RX_BUND,EURJPY,0.0,0.652257,False,-21.4156,Daily
COPPER,AUDUSD,2,0.193851,0.120421,COPPER,AUDUSD,0.0,0.117756,False,-18.6641,Daily
GOLD,USDJPY,2,0.243546,0.08718,GOLD,USDJPY,0.0,0.086448,False,-19.803,Daily
BRENT_CRUDE,USDCAD,5,0.088013,0.614573,USDCAD,BRENT_CRUDE,0.0,0.016891,True,-18.4188,Daily
DAX,SP500,5,0.302488,0.475689,SP500,DAX,0.0,0.0,True,-18.3293,Daily
EUROSTOXX50,NIKKEI225,5,0.838734,0.137067,EUROSTOXX50,NIKKEI225,0.0,0.113059,False,-17.9151,Daily
