Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency
TY_US10Y,RX_BUND,Bonds,Bonds,Intra,1,0.0,60.3258,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,AUDUSD,Indices,FX_G10,Inter,3,0.0,64.7187,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,AUDJPY,Indices,FX_G10,Inter,2,0.0,193.4974,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,EUROSTOXX50,Indices,Indices,Intra,5,0.0,25.9117,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,NIKKEI225,Indices,Indices,Intra,2,0.0,320.4182,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,HANGSENG,Indices,Indices,Intra,5,0.0,48.4964,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,DAX,Indices,Indices,Intra,5,0.0,24.3707,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,FTSE100,Indices,Indices,Intra,5,0.0,26.8702,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,CAC40,Indices,Indices,Intra,5,0.0,27.5184,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,ASX200,Indices,Indices,Intra,5,0.0,139.5829,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,USDSEK,Indices,FX_G10,Inter,2,0.0,99.8188,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
