Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Lag0,Corr_Lag-5,Corr_Lag-4,Corr_Lag-3,Corr_Lag-2,Corr_Lag-1,Corr_Lag+1,Corr_Lag+2,Corr_Lag+3,Corr_Lag+4,Corr_Lag+5,Best_Lag,Best_Corr,Best_AbsCorr,Leader,Follower,Lead_Days,Lag_Gain
TY_US10Y,RX_BUND,Bonds,Bonds,Intra,0.5832,-0.0244,0.025,-0.02,-0.0074,0.0061,0.1211,-0.0276,0.0036,0.023,-0.0078,0,0.5832,0.5832,Contemporain,Contemporain,0,0.0
TY_US10Y,G_GILT,Bonds,Bonds,Intra,0.5479,-0.0189,-0.0108,-0.0391,-0.0039,-0.0087,0.1619,0.0004,-0.0123,0.0449,-0.0098,0,0.5479,0.5479,Contemporain,Contemporain,0,0.0
TY_US10Y,OAT_FRANCE,Bonds,Bonds,Intra,0.5242,-0.0133,0.0038,-0.0007,-0.0177,0.0046,0.1145,-0.0282,0.0102,0.0371,-0.018,0,0.5242,0.5242,Contemporain,Contemporain,0,0.0
TY_US10Y,ZINC,Bonds,Commodites,Inter,-0.0404,0.0185,-0.0259,-0.0036,0.0228,-0.0269,0.0278,-0.0003,0.0054,0.0405,0.002,4,0.0405,0.0405,TY_US10Y,ZINC,4,0.0001
TY_US10Y,LEAD,Bonds,Commodites,Inter,-0.0235,0.0113,-0.0361,0.0129,0.0026,-0.0342,0.0252,0.0273,-0.0101,0.0056,0.0289,-4,-0.0361,0.0361,LEAD,TY_US10Y,4,0.0126
TY_US10Y,AUDJPY,Bonds,FX_G10,Inter,-0.0192,-0.0698,0.0156,-0.0035,0.0311,-0.0385,-0.256,-0.0108,-0.0237,0.0149,0.0139,1,-0.256,0.256,TY_US10Y,AUDJPY,1,0.2368
TY_US10Y,AUDUSD,Bonds,FX_G10,Inter,0.0058,-0.0555,-0.0073,0.0159,0.0341,-0.0411,0.1456,-0.0031,-0.027,0.0023,0.0381,1,0.1456,0.1456,TY_US10Y,AUDUSD,1,0.1398
TY_US10Y,BRENT_CRUDE,Bonds,Commodites,Inter,-0.1829,0.0028,0.0329,-0.0172,-0.0315,0.0076,-0.001,-0.0245,0.0045,0.0033,0.0116,0,-0.1829,0.1829,Contemporain,Contemporain,0,0.0
TY_US10Y,WTI_CRUDE,Bonds,Commodites,Inter,-0.1565,-0.0081,0.0319,-0.0317,-0.0201,-0.0081,0.0039,-0.027,0.0226,0.0063,0.0152,0,-0.1565,0.1565,Contemporain,Contemporain,0,0.0
TY_US10Y,EURCHF,Bonds,FX_G10,Inter,-0.0052,-0.0454,0.0147,0.0109,0.0179,0.0032,-0.1346,0.0072,-0.0149,-0.0113,-0.0121,1,-0.1346,0.1346,TY_US10Y,EURCHF,1,0.1294
TY_US10Y,EURGBP,Bonds,FX_G10,Inter,-0.0093,0.017,0.0154,-0.0043,0.0223,0.0086,0.0502,-0.0262,0.0426,0.0003,0.0376,1,0.0502,0.0502,TY_US10Y,EURGBP,1,0.0409
TY_US10Y,EURJPY,Bonds,FX_G10,Inter,-0.0167,-0.0506,0.0214,-0.0357,0.0042,-0.007,-0.2996,0.0022,0.0023,-0.0128,0.0004,1,-0.2996,0.2996,TY_US10Y,EURJPY,1,0.2829
TY_US10Y,EURUSD,Bonds,FX_G10,Inter,0.0137,-0.0263,-0.0119,-0.0092,-0.0016,-0.0032,0.2192,0.0173,0.0032,-0.0328,0.0294,1,0.2192,0.2192,TY_US10Y,EURUSD,1,0.2055
TY_US10Y,GBPJPY,Bonds,FX_G10,Inter,-0.0142,-0.0559,-0.0027,-0.0264,-0.003,-0.0162,-0.2891,0.0226,-0.037,0.0073,-0.0179,1,-0.2891,0.2891,TY_US10Y,GBPJPY,1,0.2749
TY_US10Y,GBPUSD,Bonds,FX_G10,Inter,0.0104,-0.0409,-0.033,-0.0068,-0.0075,-0.0142,0.1401,0.0374,-0.0447,-0.0056,0.0029,1,0.1401,0.1401,TY_US10Y,GBPUSD,1,0.1297
TY_US10Y,GOLD,Bonds,Commodites,Inter,0.3167,-0.0364,0.0373,0.0238,-0.0088,-0.0228,0.0398,0.0129,0.0013,0.0127,-0.0244,0,0.3167,0.3167,Contemporain,Contemporain,0,0.0
TY_US10Y,COPPER,Bonds,Commodites,Inter,-0.0597,0.0129,-0.0017,0.0034,-0.001,-0.0139,0.0226,-0.0461,0.0146,0.0117,-0.0162,0,-0.0597,0.0597,Contemporain,Contemporain,0,0.0
TY_US10Y,NAT_GAS,Bonds,Commodites,Inter,-0.0157,-0.0062,0.0152,0.0368,-0.0082,-0.0337,0.0024,0.0147,-0.0268,-0.007,-0.0081,-3,0.0368,0.0368,NAT_GAS,TY_US10Y,3,0.0211
TY_US10Y,NZDUSD,Bonds,FX_G10,Inter,0.0,-0.0525,-0.0188,0.0082,0.0328,-0.044,0.2168,-0.0002,-0.0094,0.0245,0.0363,1,0.2168,0.2168,TY_US10Y,NZDUSD,1,0.2168
TY_US10Y,PLATINUM,Bonds,Commodites,Inter,0.0798,-0.0449,0.0032,0.0257,-0.0037,-0.0089,0.0321,-0.0173,0.0204,0.0173,-0.0131,0,0.0798,0.0798,Contemporain,Contemporain,0,0.0
TY_US10Y,SILVER,Bonds,Commodites,Inter,0.1633,-0.0367,0.0164,0.0104,0.0047,-0.0172,0.0217,0.0203,0.0129,0.0243,-0.0072,0,0.1633,0.1633,Contemporain,Contemporain,0,0.0
TY_US10Y,USDCAD,Bonds,FX_G10,Inter,0.0044,0.0384,0.0261,-0.0189,0.0086,0.0119,-0.0519,-0.0182,0.0062,-0.0093,-0.0455,1,-0.0519,0.0519,TY_US10Y,USDCAD,1,0.0475
TY_US10Y,USDCHF,Bonds,FX_G10,Inter,-0.0161,-0.015,0.0217,0.0167,0.0159,0.0055,-0.2955,-0.0085,-0.0153,0.0184,-0.035,1,-0.2955,0.2955,TY_US10Y,USDCHF,1,0.2794
