Leader,Follower,Optimal_Lag,Granger_P,Granger_Lag,Cross_Corr,Leadership_Score
EUROSTOXX50,NIKKEI225,1,3.8016355077093863e-113,3,0.3604388668256801,0.6802194334128401
FTSE100,ASX200,1,1.4382262274419378e-99,4,0.34316036166348046,0.6715801808317402
CAC40,ASX200,1,1.6447808093480778e-100,4,0.3421938522980745,0.6710969261490373
TY_US10Y,RX_BUND,0,4.989510276313651e-15,1,0.5383260750856015,0.0
FTSE100,RUSSELL2000,0,1.6222632390256783e-05,4,0.41330074448674564,0.0
FTSE100,EUROSTOXX50,0,0.029057850188473438,3,0.7955345947434113,0.0
FTSE100,VIX,0,0.0003733944139699361,5,-0.3720605125804556,0.0
DAX,DOWJONES,0,2.8001378681829896e-15,4,0.5069953783777281,0.0
DAX,CAC40,0,0.001041959847487894,1,0.9025358497932979,0.0
DAX,FTSE100,0,0.001796711301605186,3,0.778702123384518,0.0
DAX,SP500,0,2.3455262522971093e-16,3,0.47358645262831045,0.0
DAX,NASDAQ100,0,8.783499078441765e-07,4,0.41385729471680344,0.0
FTSE100,HANGSENG,0,1.2257959098638211e-23,2,0.34119585004284836,0.0
DAX,RUSSELL2000,0,2.0531496093298065e-09,4,0.46496800478046624,0.0
DAX,EUROSTOXX50,0,0.0005891136254796439,2,0.9486356904269607,0.0
DAX,VIX,0,0.000173048604204849,5,-0.4203692680061984,0.0
SP500,DOWJONES,0,0.03700439581573661,4,0.8635517354487044,0.0
SP500,CAC40,0,2.68435200207229e-31,4,0.4861911544453525,0.0
SP500,FTSE100,0,7.771487872752743e-28,4,0.4404918131035288,0.0
SP500,DAX,0,1.5614324019727786e-31,1,0.47358645262831045,0.0
SP500,NASDAQ100,0,7.443910345444899e-06,2,0.8803236838522049,0.0
FTSE100,NASDAQ100,0,0.00011543496191981265,2,0.32048854315872116,0.0
FTSE100,CAC40,0,0.0026932731920610723,1,0.7939274205774768,0.0
FTSE100,SP500,0,2.5286808435128275e-10,2,0.4404918131035288,0.0
SP500,VIX,0,0.0046978843936386575,5,-0.6671244488297812,0.0
DOWJONES,DAX,0,3.8881606605549395e-23,4,0.5069953783777281,0.0
DOWJONES,SP500,0,5.70610326980567e-21,4,0.8635517354487046,0.0
DOWJONES,NASDAQ100,0,1.0948180820904109e-05,1,0.7063121485103203,0.0
DOWJONES,RUSSELL2000,0,2.114220040525265e-08,1,0.7479663957874456,0.0
DOWJONES,EUROSTOXX50,0,1.3583884872281066e-27,4,0.5043279094552761,0.0
DOWJONES,VIX,0,0.026742268368740073,5,-0.6295594974471289,0.0
CAC40,DOWJONES,0,4.785989441650887e-10,4,0.49210030939924887,0.0
CAC40,FTSE100,0,0.00046616336630422845,3,0.7939274205774769,0.0
CAC40,SP500,0,3.824178655794005e-11,3,0.48619115444535244,0.0
CAC40,HANGSENG,0,7.598273090409967e-31,2,0.3098078120982723,0.0
CAC40,NASDAQ100,0,0.00010677121444149901,3,0.3972775832573985,0.0
CAC40,RUSSELL2000,0,2.7030280530217803e-05,4,0.48087761780672594,0.0
CAC40,EUROSTOXX50,0,0.0008488496772883036,1,0.9466729228165606,0.0
CAC40,VIX,0,0.0018390646080198314,5,-0.41224254739828875,0.0
FTSE100,DOWJONES,0,3.4917534050143456e-08,4,0.5021887337572745,0.0
SP500,EUROSTOXX50,0,9.122171039541297e-37,1,0.47260219623972205,0.0
HANGSENG,ASX200,0,0.004378233517809453,1,0.35703216916149155,0.0
DOWJONES,CAC40,0,4.330991998941779e-37,4,0.49210030939924887,0.0
HANGSENG,CAC40,0,0.021697786632342776,3,0.3098078120982723,0.0
RUSSELL2000,EUROSTOXX50,0,3.3243559783062456e-30,1,0.4614039292128156,0.0
RUSSELL2000,VIX,0,0.0029056480142847685,1,-0.5959438795708923,0.0
EUROSTOXX50,DOWJONES,0,1.858580761221405e-12,4,0.5043279094552762,0.0
EUROSTOXX50,CAC40,0,7.260354770600208e-06,5,0.9466729228165606,0.0
EUROSTOXX50,FTSE100,0,0.0003947163238526387,3,0.7955345947434113,0.0
EUROSTOXX50,SP500,0,5.171655603004143e-13,3,0.472602196239722,0.0
EUROSTOXX50,HANGSENG,0,6.318794110417708e-29,2,0.32246777463541704,0.0
EUROSTOXX50,NASDAQ100,0,2.7764732186604976e-05,3,0.41611493421590356,0.0
EUROSTOXX50,RUSSELL2000,0,2.86965321015545e-07,4,0.4614039292128156,0.0
EUROSTOXX50,VIX,0,0.0013133296055925757,5,-0.4305802547248213,0.0
VIX,DOWJONES,0,0.0018224320227850233,5,-0.6295594974471289,0.0
VIX,CAC40,0,2.060311924371369e-25,2,-0.41224254739828875,0.0
VIX,FTSE100,0,3.119861473337479e-25,2,-0.3720605125804556,0.0
VIX,DAX,0,6.130876780246421e-24,2,-0.42036926800619834,0.0
VIX,SP500,0,0.00011911756830458248,1,-0.6671244488297812,0.0
