Asset,ADF_stat,ADF_pval,ADF_ok,KPSS_stat,KPSS_pval,KPSS_ok,Stationary,Conclusion
TY_US10Y,-39.75,0.0,True,0.14,0.1,True,True,✅ Stationnaire
RX_BUND,-52.8894,0.0,True,0.2827,0.1,True,True,✅ Stationnaire
G_GILT,-12.7746,0.0,True,0.241,0.1,True,True,✅ Stationnaire
OAT_FRANCE,-52.3035,0.0,True,0.2895,0.1,True,True,✅ Stationnaire
ZINC,-53.1233,0.0,True,0.0412,0.1,True,True,✅ Stationnaire
LEAD,-40.4184,0.0,True,0.0275,0.1,True,True,✅ Stationnaire
AUDJPY,-31.4531,0.0,True,0.2417,0.1,True,True,✅ Stationnaire
AUDUSD,-54.509,0.0,True,0.0363,0.1,True,True,✅ Stationnaire
BRENT_CRUDE,-36.6963,0.0,True,0.0638,0.1,True,True,✅ Stationnaire
WTI_CRUDE,-10.1369,0.0,True,0.0697,0.1,True,True,✅ Stationnaire
EURCHF,-20.4445,0.0,True,0.0402,0.1,True,True,✅ Stationnaire
EURGBP,-24.076,0.0,True,0.072,0.1,True,True,✅ Stationnaire
EURJPY,-55.0847,0.0,True,0.4686,0.0487,False,False,⚠️ Diff-stationnaire (possible)
EURUSD,-23.0353,0.0,True,0.0884,0.1,True,True,✅ Stationnaire
GBPJPY,-15.5756,0.0,True,0.4235,0.067,True,True,✅ Stationnaire
GBPUSD,-51.8912,0.0,True,0.134,0.1,True,True,✅ Stationnaire
GOLD,-55.1819,0.0,True,0.4682,0.0488,False,False,⚠️ Diff-stationnaire (possible)
COPPER,-55.3046,0.0,True,0.0981,0.1,True,True,✅ Stationnaire
NAT_GAS,-24.712,0.0,True,0.0352,0.1,True,True,✅ Stationnaire
NZDUSD,-54.1557,0.0,True,0.0302,0.1,True,True,✅ Stationnaire
PLATINUM,-20.9487,0.0,True,0.3003,0.1,True,True,✅ Stationnaire
SILVER,-35.8186,0.0,True,0.3037,0.1,True,True,✅ Stationnaire
USDCAD,-52.9097,0.0,True,0.0772,0.1,True,True,✅ Stationnaire
USDCHF,-31.8144,0.0,True,0.0491,0.1,True,True,✅ Stationnaire
USDJPY,-53.7612,0.0,True,0.2615,0.1,True,True,✅ Stationnaire
USDNOK,-39.5043,0.0,True,0.0435,0.1,True,True,✅ Stationnaire
USDSEK,-55.1154,0.0,True,0.1112,0.1,True,True,✅ Stationnaire
ASX200,-13.1017,0.0,True,0.025,0.1,True,True,✅ Stationnaire
DOWJONES,-16.2732,0.0,True,0.0245,0.1,True,True,✅ Stationnaire
CAC40,-12.2103,0.0,True,0.0165,0.1,True,True,✅ Stationnaire
FTSE100,-16.0231,0.0,True,0.0714,0.1,True,True,✅ Stationnaire
DAX,-14.1492,0.0,True,0.0631,0.1,True,True,✅ Stationnaire
SP500,-14.2751,0.0,True,0.055,0.1,True,True,✅ Stationnaire
HANGSENG,-11.7807,0.0,True,0.0663,0.1,True,True,✅ Stationnaire
NIKKEI225,-36.8261,0.0,True,0.0809,0.1,True,True,✅ Stationnaire
NASDAQ100,-14.1908,0.0,True,0.045,0.1,True,True,✅ Stationnaire
RUSSELL2000,-14.0921,0.0,True,0.027,0.1,True,True,✅ Stationnaire
EUROSTOXX50,-12.2112,0.0,True,0.0518,0.1,True,True,✅ Stationnaire
VIX,-22.1427,0.0,True,0.0106,0.1,True,True,✅ Stationnaire
