Asset1,Asset2,Optimal_Lag,Impact_A1_on_A2,Impact_A2_on_A1,VAR_Leader,VAR_Follower,GC_pval_A1→A2,GC_pval_A2→A1,Bidirectional,Leader_Confirmed,Frequency
TY_US10Y,USDJPY,3,0.959102,0.044508,TY_US10Y,USDJPY,0.0,0.159594,False,True,Daily
SP500,AUDJPY,4,0.379218,0.187943,SP500,AUDJPY,0.0,0.009945,True,True,Daily
DOWJONES,AUDJPY,5,0.380099,0.201539,DOWJONES,AUDJPY,0.0,0.044627,True,True,Daily
RUSSELL2000,AUDJPY,4,0.28858,0.189178,RUSSELL2000,AUDJPY,0.0,0.046331,True,True,Daily
NASDAQ100,AUDJPY,2,0.256744,0.134138,NASDAQ100,AUDJPY,0.0,0.035856,True,True,Daily
VIX,AUDJPY,4,0.055145,1.300985,AUDJPY,VIX,0.0,0.041457,True,False,Daily
SP500,NIKKEI225,5,0.851757,0.143161,SP500,NIKKEI225,0.0,0.002486,True,True,Daily
NASDAQ100,NIKKEI225,2,0.565952,0.086326,NASDAQ100,NIKKEI225,0.0,0.001947,True,True,Daily
SP500,AUDUSD,4,0.374725,0.239117,SP500,AUDUSD,0.0,0.003923,True,True,Daily
RUSSELL2000,NIKKEI225,5,0.632277,0.122974,RUSSELL2000,NIKKEI225,0.0,0.091315,False,True,Daily
VIX,NIKKEI225,5,0.127327,0.691539,NIKKEI225,VIX,0.0,0.175008,False,False,Daily
SP500,USDCAD,5,0.228156,0.339868,USDCAD,SP500,0.0,0.008347,True,False,Daily
RUSSELL2000,AUDUSD,4,0.274012,0.259429,RUSSELL2000,AUDUSD,0.0,0.016288,True,True,Daily
DOWJONES,NIKKEI225,5,0.780027,0.122019,DOWJONES,NIKKEI225,0.0,0.003912,True,True,Daily
RUSSELL2000,USDCAD,5,0.177032,0.431423,USDCAD,RUSSELL2000,0.0,0.011123,True,False,Daily
DOWJONES,USDCAD,5,0.2324,0.323753,USDCAD,DOWJONES,0.0,0.015962,True,False,Daily
DOWJONES,AUDUSD,4,0.363509,0.219548,DOWJONES,AUDUSD,0.0,0.004341,True,True,Daily
NASDAQ100,AUDUSD,2,0.227273,0.16103,NASDAQ100,AUDUSD,0.0,0.019492,True,True,Daily
COPPER,AUDUSD,2,0.193851,0.120421,COPPER,AUDUSD,0.0,0.117756,False,True,Daily
GOLD,USDJPY,2,0.243546,0.08718,GOLD,USDJPY,0.0,0.086448,False,True,Daily
PLATINUM,AUDUSD,2,0.158378,0.136861,PLATINUM,AUDUSD,0.0,0.132486,False,True,Daily
VIX,ASX200,5,0.084395,0.881196,ASX200,VIX,0.0,0.145499,False,False,Daily
SILVER,AUDUSD,3,0.171498,0.184297,AUDUSD,SILVER,0.0,0.262648,False,False,Daily
SP500,GBPJPY,5,0.24875,0.189926,SP500,GBPJPY,0.0,0.111157,False,True,Daily
DOWJONES,GBPJPY,5,0.246042,0.156192,DOWJONES,GBPJPY,0.0,0.25475,False,True,Daily
RUSSELL2000,ASX200,5,0.59788,0.203696,RUSSELL2000,ASX200,0.0,0.002711,True,True,Daily
EUROSTOXX50,AUDJPY,3,0.282808,0.149946,EUROSTOXX50,AUDJPY,0.0,0.032696,True,True,Daily
BRENT_CRUDE,USDCAD,5,0.088013,0.614573,USDCAD,BRENT_CRUDE,0.0,0.016891,True,False,Daily
CAC40,AUDJPY,3,0.285816,0.144331,CAC40,AUDJPY,0.0,0.018992,True,True,Daily
