Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency
TY_US10Y,RX_BUND,Bonds,Bonds,Intra,1,0.122977,2.3861,False,"{1: 0.123, 2: 0.2694, 3: 0.4201, 4: 0.4975}",Weekly
TY_US10Y,G_GILT,Bonds,Bonds,Intra,1,0.14148,2.1678,False,"{1: 0.1415, 2: 0.3258, 3: 0.2797, 4: 0.349}",Weekly
TY_US10Y,OAT_FRANCE,Bonds,Bonds,Intra,1,0.184244,1.7673,False,"{1: 0.1842, 2: 0.351, 3: 0.5558, 4: 0.6941}",Weekly
TY_US10Y,ZINC,Bonds,Commodites,Inter,1,0.174883,1.8452,False,"{1: 0.1749, 2: 0.3156, 3: 0.4097, 4: 0.4592}",Weekly
TY_US10Y,LEAD,Bonds,Commodites,Inter,3,0.110273,2.0182,False,"{1: 0.8512, 2: 0.968, 3: 0.1103, 4: 0.1631}",Weekly
TY_US10Y,AUDJPY,Bonds,FX_G10,Inter,1,0.112717,2.5235,False,"{1: 0.1127, 2: 0.2132, 3: 0.2612, 4: 0.1823}",Weekly
TY_US10Y,AUDUSD,Bonds,FX_G10,Inter,1,0.002389,9.3071,True,"{1: 0.0024, 2: 0.0115, 3: 0.0231, 4: 0.0314}",Weekly
TY_US10Y,BRENT_CRUDE,Bonds,Commodites,Inter,3,0.18566,1.6113,False,"{1: 0.6692, 2: 0.4403, 3: 0.1857, 4: 0.2875}",Weekly
TY_US10Y,WTI_CRUDE,Bonds,Commodites,Inter,2,0.345717,1.0641,False,"{1: 0.742, 2: 0.3457, 3: 0.4676, 4: 0.5802}",Weekly
TY_US10Y,EURCHF,Bonds,FX_G10,Inter,4,0.171677,1.6045,False,"{1: 0.2808, 2: 0.8968, 3: 0.6466, 4: 0.1717}",Weekly
TY_US10Y,EURGBP,Bonds,FX_G10,Inter,1,0.012908,6.2209,True,"{1: 0.0129, 2: 0.018, 3: 0.0227, 4: 0.0347}",Weekly
TY_US10Y,EURJPY,Bonds,FX_G10,Inter,1,0.010026,6.6749,True,"{1: 0.01, 2: 0.0357, 3: 0.0195, 4: 0.0102}",Weekly
TY_US10Y,EURUSD,Bonds,FX_G10,Inter,4,0.00044,5.1531,True,"{1: 0.0023, 2: 0.0019, 3: 0.0006, 4: 0.0004}",Weekly
TY_US10Y,GBPJPY,Bonds,FX_G10,Inter,1,0.001003,10.9351,True,"{1: 0.001, 2: 0.0035, 3: 0.0071, 4: 0.0097}",Weekly
TY_US10Y,GBPUSD,Bonds,FX_G10,Inter,4,0.300269,1.2221,False,"{1: 0.6025, 2: 0.6241, 3: 0.7199, 4: 0.3003}",Weekly
TY_US10Y,GOLD,Bonds,Commodites,Inter,1,0.031662,4.6396,True,"{1: 0.0317, 2: 0.1188, 3: 0.1781, 4: 0.1115}",Weekly
TY_US10Y,COPPER,Bonds,Commodites,Inter,3,0.751879,0.4016,False,"{1: 0.9862, 2: 0.8558, 3: 0.7519, 4: 0.8414}",Weekly
TY_US10Y,NAT_GAS,Bonds,Commodites,Inter,1,0.222848,1.4892,False,"{1: 0.2228, 2: 0.3734, 3: 0.2967, 4: 0.4605}",Weekly
TY_US10Y,NZDUSD,Bonds,FX_G10,Inter,1,0.000181,14.2008,True,"{1: 0.0002, 2: 0.0008, 3: 0.0012, 4: 0.0023}",Weekly
TY_US10Y,PLATINUM,Bonds,Commodites,Inter,1,0.260508,1.2686,False,"{1: 0.2605, 2: 0.3282, 3: 0.4429, 4: 0.6137}",Weekly
TY_US10Y,SILVER,Bonds,Commodites,Inter,1,0.011941,6.3605,True,"{1: 0.0119, 2: 0.0341, 3: 0.083, 4: 0.0581}",Weekly
TY_US10Y,USDCAD,Bonds,FX_G10,Inter,4,0.118503,1.8463,False,"{1: 0.2012, 2: 0.2621, 3: 0.3092, 4: 0.1185}",Weekly
TY_US10Y,USDCHF,Bonds,FX_G10,Inter,4,0.000137,5.8126,True,"{1: 0.0002, 2: 0.0007, 3: 0.0017, 4: 0.0001}",Weekly
TY_US10Y,USDJPY,Bonds,FX_G10,Inter,1,0.0,29.3808,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
TY_US10Y,USDNOK,Bonds,FX_G10,Inter,4,0.000555,5.021,True,"{1: 0.6665, 2: 0.0013, 3: 0.0006, 4: 0.0006}",Weekly
TY_US10Y,USDSEK,Bonds,FX_G10,Inter,1,0.005717,7.6958,True,"{1: 0.0057, 2: 0.0063, 3: 0.0086, 4: 0.013}",Weekly
TY_US10Y,ASX200,Bonds,Indices,Inter,2,0.170457,1.7748,False,"{1: 0.2175, 2: 0.1705, 3: 0.2378, 4: 0.358}",Weekly
TY_US10Y,DOWJONES,Bonds,Indices,Inter,1,0.033569,4.5385,True,"{1: 0.0336, 2: 0.0472, 3: 0.082, 4: 0.1396}",Weekly
TY_US10Y,CAC40,Bonds,Indices,Inter,3,0.403032,0.9773,False,"{1: 0.4581, 2: 0.6288, 3: 0.403, 4: 0.5138}",Weekly
TY_US10Y,FTSE100,Bonds,Indices,Inter,3,0.075012,2.3135,False,"{1: 0.5605, 2: 0.1013, 3: 0.075, 4: 0.1343}",Weekly
TY_US10Y,DAX,Bonds,Indices,Inter,1,0.274732,1.1953,False,"{1: 0.2747, 2: 0.4942, 3: 0.3665, 4: 0.3821}",Weekly
TY_US10Y,SP500,Bonds,Indices,Inter,1,0.018047,5.6241,True,"{1: 0.018, 2: 0.0483, 3: 0.068, 4: 0.122}",Weekly
TY_US10Y,HANGSENG,Bonds,Indices,Inter,1,0.20524,1.6084,False,"{1: 0.2052, 2: 0.3053, 3: 0.2443, 4: 0.3041}",Weekly
TY_US10Y,NIKKEI225,Bonds,Indices,Inter,3,0.070461,2.3612,False,"{1: 0.1689, 2: 0.3667, 3: 0.0705, 4: 0.1251}",Weekly
TY_US10Y,NASDAQ100,Bonds,Indices,Inter,1,0.012608,6.263,True,"{1: 0.0126, 2: 0.0304, 3: 0.0395, 4: 0.0727}",Weekly
TY_US10Y,RUSSELL2000,Bonds,Indices,Inter,1,0.303873,1.059,False,"{1: 0.3039, 2: 0.4724, 3: 0.541, 4: 0.6944}",Weekly
