Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency
DAX,EURGBP,Indices,FX_G10,Inter,1,0.0,28.1059,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
EUROSTOXX50,ASX200,Indices,Indices,Intra,1,0.0,34.6863,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
DAX,NIKKEI225,Indices,Indices,Intra,1,0.0,27.554,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
DAX,SP500,Indices,Indices,Intra,1,0.0,27.5654,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
DAX,DOWJONES,Indices,Indices,Intra,1,0.0,29.4015,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
DAX,ASX200,Indices,Indices,Intra,1,0.0,36.3014,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
FTSE100,ASX200,Indices,Indices,Intra,1,0.0,29.7676,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
EUROSTOXX50,NIKKEI225,Indices,Indices,Intra,1,0.0,33.0608,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
FTSE100,AUDUSD,Indices,FX_G10,Inter,4,0.0,9.1152,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
VIX,AUDJPY,Indices,FX_G10,Inter,2,0.0,18.3176,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
CAC40,NIKKEI225,Indices,Indices,Intra,1,0.0,30.1269,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
TY_US10Y,USDJPY,Bonds,FX_G10,Inter,1,0.0,29.3808,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
CAC40,ASX200,Indices,Indices,Intra,1,0.0,32.8476,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
WTI_CRUDE,BRENT_CRUDE,Commodites,Commodites,Intra,3,0.0,11.3212,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
CAC40,EURGBP,Indices,FX_G10,Inter,2,0.0,15.0711,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
DOWJONES,USDNOK,Indices,FX_G10,Inter,4,0.0,11.3443,True,"{1: 0.0621, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
USDSEK,USDNOK,FX_G10,FX_G10,Intra,3,0.0,18.071,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
USDJPY,USDNOK,FX_G10,FX_G10,Intra,4,0.0,10.8202,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
EURUSD,USDNOK,FX_G10,FX_G10,Intra,2,0.0,20.1975,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
SP500,USDNOK,Indices,FX_G10,Inter,4,0.0,10.4954,True,"{1: 0.0187, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
EUROSTOXX50,EURGBP,Indices,FX_G10,Inter,1,0.0,30.7753,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
USDNOK,NIKKEI225,FX_G10,Indices,Inter,2,1e-06,14.0632,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
VIX,NIKKEI225,Indices,Indices,Intra,2,1e-06,14.1053,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
EUROSTOXX50,DOWJONES,Indices,Indices,Intra,1,1e-06,25.4005,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
EUROSTOXX50,GBPUSD,Indices,FX_G10,Inter,1,2e-06,23.5118,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
CAC40,DOWJONES,Indices,Indices,Intra,1,2e-06,23.515,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
AUDUSD,USDNOK,FX_G10,FX_G10,Intra,2,2e-06,13.679,True,"{1: 0.0161, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
NZDUSD,USDNOK,FX_G10,FX_G10,Intra,2,3e-06,13.1545,True,"{1: 0.0017, 2: 0.0, 3: 0.0, 4: 0.0001}",Weekly
FTSE100,USDNOK,Indices,FX_G10,Inter,4,3e-06,8.0495,True,"{1: 0.0378, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
DAX,USDNOK,Indices,FX_G10,Inter,4,3e-06,8.0066,True,"{1: 0.02, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
EUROSTOXX50,SP500,Indices,Indices,Intra,1,3e-06,22.2831,True,"{1: 0.0, 2: 0.0, 3: 0.0001, 4: 0.0}",Weekly
NASDAQ100,USDNOK,Indices,FX_G10,Inter,2,3e-06,12.8922,True,"{1: 0.0158, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
USDNOK,WTI_CRUDE,FX_G10,Commodites,Inter,2,4e-06,12.7734,True,"{1: 0.0283, 2: 0.0, 3: 0.0, 4: 0.0001}",Weekly
USDNOK,RUSSELL2000,FX_G10,Indices,Inter,3,4e-06,9.5097,True,"{1: 0.0014, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
RUSSELL2000,USDNOK,Indices,FX_G10,Inter,2,6e-06,12.2499,True,"{1: 0.2077, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
DAX,GBPUSD,Indices,FX_G10,Inter,1,6e-06,20.7586,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
EUROSTOXX50,USDNOK,Indices,FX_G10,Inter,4,7e-06,7.4642,True,"{1: 0.0169, 2: 0.0, 3: 0.0, 4: 0.0}",Weekly
ZINC,USDNOK,Commodites,FX_G10,Inter,2,7e-06,12.0707,True,"{1: 0.0001, 2: 0.0, 3: 0.0, 4: 0.0001}",Weekly
GBPUSD,USDNOK,FX_G10,FX_G10,Intra,2,7e-06,12.1301,True,"{1: 0.0018, 2: 0.0, 3: 0.0, 4: 0.0001}",Weekly
RUSSELL2000,ASX200,Indices,Indices,Intra,1,7e-06,20.44,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0001}",Weekly
RX_BUND,USDNOK,Bonds,FX_G10,Inter,3,7e-06,9.1091,True,"{1: 0.6815, 2: 0.0002, 3: 0.0, 4: 0.0}",Weekly
CAC40,USDNOK,Indices,FX_G10,Inter,4,8e-06,7.3856,True,"{1: 0.0071, 2: 0.0, 3: 0.0001, 4: 0.0}",Weekly
ASX200,USDNOK,Indices,FX_G10,Inter,4,9e-06,7.355,True,"{1: 0.1541, 2: 0.0001, 3: 0.0001, 4: 0.0}",Weekly
FTSE100,WTI_CRUDE,Indices,Commodites,Inter,4,1.3e-05,7.1381,True,"{1: 0.0001, 2: 0.0004, 3: 0.0002, 4: 0.0}",Weekly
CAC40,BRENT_CRUDE,Indices,Commodites,Inter,1,1.8e-05,18.6634,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0002}",Weekly
FTSE100,BRENT_CRUDE,Indices,Commodites,Inter,1,1.9e-05,18.6039,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0001}",Weekly
USDNOK,BRENT_CRUDE,FX_G10,Commodites,Inter,4,2.9e-05,6.695,True,"{1: 0.0009, 2: 0.0, 3: 0.0001, 4: 0.0}",Weekly
RUSSELL2000,EURGBP,Indices,FX_G10,Inter,1,2.9e-05,17.7533,True,"{1: 0.0, 2: 0.0001, 3: 0.0001, 4: 0.0002}",Weekly
CAC40,GBPUSD,Indices,FX_G10,Inter,1,3e-05,17.7263,True,"{1: 0.0, 2: 0.0001, 3: 0.0001, 4: 0.0001}",Weekly
CAC40,SP500,Indices,Indices,Intra,1,3e-05,17.7237,True,"{1: 0.0, 2: 0.0001, 3: 0.0005, 4: 0.0002}",Weekly
USDCHF,USDNOK,FX_G10,FX_G10,Intra,4,3e-05,6.6644,True,"{1: 0.011, 2: 0.0021, 3: 0.0, 4: 0.0}",Weekly
DOWJONES,WTI_CRUDE,Indices,Commodites,Inter,4,5.1e-05,6.3739,True,"{1: 0.0086, 2: 0.0014, 3: 0.0064, 4: 0.0001}",Weekly
USDNOK,DOWJONES,FX_G10,Indices,Inter,2,6.2e-05,9.8489,True,"{1: 0.0001, 2: 0.0001, 3: 0.0001, 4: 0.0006}",Weekly
NIKKEI225,EURGBP,Indices,FX_G10,Inter,2,6.2e-05,9.8545,True,"{1: 0.0001, 2: 0.0001, 3: 0.0001, 4: 0.0002}",Weekly
CAC40,WTI_CRUDE,Indices,Commodites,Inter,1,6.8e-05,16.1005,True,"{1: 0.0001, 2: 0.0004, 3: 0.0003, 4: 0.0002}",Weekly
VIX,GBPJPY,Indices,FX_G10,Inter,2,7.1e-05,9.7215,True,"{1: 0.0012, 2: 0.0001, 3: 0.0003, 4: 0.0007}",Weekly
RUSSELL2000,WTI_CRUDE,Indices,Commodites,Inter,4,7.2e-05,6.1794,True,"{1: 0.0007, 2: 0.0021, 3: 0.008, 4: 0.0001}",Weekly
COPPER,USDNOK,Commodites,FX_G10,Inter,2,7.2e-05,9.6953,True,"{1: 0.0006, 2: 0.0001, 3: 0.0002, 4: 0.0006}",Weekly
EUROSTOXX50,BRENT_CRUDE,Indices,Commodites,Inter,1,7.5e-05,15.9139,True,"{1: 0.0001, 2: 0.0003, 3: 0.0001, 4: 0.0005}",Weekly
DAX,BRENT_CRUDE,Indices,Commodites,Inter,1,0.000113,15.1238,True,"{1: 0.0001, 2: 0.0005, 3: 0.0002, 4: 0.0009}",Weekly
EUROSTOXX50,AUDUSD,Indices,FX_G10,Inter,1,0.000116,15.0605,True,"{1: 0.0001, 2: 0.0006, 3: 0.0009, 4: 0.0002}",Weekly
SILVER,USDNOK,Commodites,FX_G10,Inter,2,0.000119,9.1832,True,"{1: 0.1001, 2: 0.0001, 3: 0.0002, 4: 0.0001}",Weekly
RUSSELL2000,BRENT_CRUDE,Indices,Commodites,Inter,1,0.000124,14.9365,True,"{1: 0.0001, 2: 0.0004, 3: 0.0012, 4: 0.0013}",Weekly
