Asset1,Asset2,Correlation,AbsCorr
AUDJPY,NIKKEI225,0.6039,0.6039
GBPJPY,NIKKEI225,0.4859,0.4859
AUDUSD,HANGSENG,0.4768,0.4768
AUDUSD,RUSSELL2000,0.4681,0.4681
AUDUSD,SP500,0.4551,0.4551
AUDUSD,DOWJONES,0.4522,0.4522
AUDJPY,RUSSELL2000,0.4348,0.4348
AUDUSD,COPPER,0.4287,0.4287
COPPER,HANGSENG,0.4282,0.4282
AUDJPY,HANGSENG,0.4267,0.4267
AUDUSD,SILVER,0.4238,0.4238
AUDUSD,PLATINUM,0.4236,0.4236
AUDJPY,CAC40,0.4232,0.4232
AUDJPY,DOWJONES,0.4222,0.4222
AUDJPY,EUROSTOXX50,0.4198,0.4198
AUDJPY,DAX,0.4175,0.4175
AUDJPY,SP500,0.416,0.416
EURJPY,NIKKEI225,0.4143,0.4143
TY_US10Y,USDJPY,-0.4137,0.4137
BRENT_CRUDE,ASX200,0.4101,0.4101
AUDJPY,FTSE100,0.3936,0.3936
ZINC,HANGSENG,0.3914,0.3914
GOLD,USDCHF,-0.3908,0.3908
USDCAD,DOWJONES,-0.3887,0.3887
WTI_CRUDE,ASX200,0.3882,0.3882
USDCAD,RUSSELL2000,-0.3835,0.3835
PLATINUM,USDCAD,-0.379,0.379
USDCAD,HANGSENG,-0.3771,0.3771
AUDUSD,NASDAQ100,0.3724,0.3724
USDCAD,SP500,-0.3717,0.3717
NZDUSD,SILVER,0.3707,0.3707
ZINC,AUDUSD,0.3697,0.3697
NZDUSD,HANGSENG,0.369,0.369
NZDUSD,RUSSELL2000,0.3664,0.3664
COPPER,NZDUSD,0.3655,0.3655
PLATINUM,RUSSELL2000,0.3621,0.3621
COPPER,RUSSELL2000,0.3602,0.3602
PLATINUM,DOWJONES,0.3594,0.3594
GOLD,USDJPY,-0.3587,0.3587
NZDUSD,PLATINUM,0.3587,0.3587
COPPER,DOWJONES,0.3583,0.3583
NZDUSD,SP500,0.3578,0.3578
COPPER,SP500,0.3573,0.3573
AUDUSD,NIKKEI225,0.3556,0.3556
BRENT_CRUDE,FTSE100,0.3523,0.3523
NZDUSD,DOWJONES,0.3497,0.3497
AUDUSD,GOLD,0.3473,0.3473
RX_BUND,EURJPY,-0.3469,0.3469
PLATINUM,SP500,0.3465,0.3465
USDJPY,NIKKEI225,0.3457,0.3457
G_GILT,USDJPY,-0.3433,0.3433
USDSEK,HANGSENG,-0.342,0.342
COPPER,USDCAD,-0.3399,0.3399
AUDJPY,ASX200,0.339,0.339
SILVER,USDCAD,-0.3367,0.3367
PLATINUM,FTSE100,0.3362,0.3362
LEAD,AUDUSD,0.3351,0.3351
AUDJPY,VIX,-0.3337,0.3337
EURUSD,GOLD,0.3336,0.3336
ZINC,NZDUSD,0.3295,0.3295
AUDUSD,ASX200,0.3291,0.3291
