Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Lag0,Corr_Lag-4,Corr_Lag-3,Corr_Lag-2,Corr_Lag-1,Corr_Lag+1,Corr_Lag+2,Corr_Lag+3,Corr_Lag+4,Best_Lag,Best_Corr,Best_AbsCorr,Lag_Gain,Leader,Follower,Lead_Weeks
TY_US10Y,RX_BUND,Bonds,Bonds,Intra,0.694,0.0241,-0.0171,0.0639,-0.0145,-0.0415,-0.0128,-0.0101,-0.0178,0,0.694,0.694,0.0,Contemporain,Contemporain,0
TY_US10Y,G_GILT,Bonds,Bonds,Intra,0.7122,0.0126,0.0379,0.0451,-0.0111,-0.0263,-0.0018,-0.0297,-0.0193,0,0.7122,0.7122,0.0,Contemporain,Contemporain,0
TY_US10Y,OAT_FRANCE,Bonds,Bonds,Intra,0.6318,0.0141,-0.0187,0.0745,0.0028,-0.0379,-0.0146,-0.0102,0.0026,0,0.6318,0.6318,0.0,Contemporain,Contemporain,0
TY_US10Y,ZINC,Bonds,Commodites,Inter,-0.0429,-0.0973,-0.0606,-0.0637,-0.0512,0.0574,0.0272,0.0386,0.0242,-4,-0.0973,0.0973,0.0544,ZINC,TY_US10Y,4
TY_US10Y,LEAD,Bonds,Commodites,Inter,-0.0285,-0.0505,-0.0445,0.032,-0.0161,0.0103,0.0078,0.1018,-0.0492,3,0.1018,0.1018,0.0733,TY_US10Y,LEAD,3
TY_US10Y,AUDJPY,Bonds,FX_G10,Inter,-0.2692,0.0365,-0.0525,-0.0987,-0.0379,-0.0498,-0.0295,0.0426,-0.0396,0,-0.2692,0.2692,0.0,Contemporain,Contemporain,0
TY_US10Y,AUDUSD,Bonds,FX_G10,Inter,0.0796,-0.0004,-0.0379,-0.0451,-0.0316,0.1189,-0.0276,0.0249,0.0326,1,0.1189,0.1189,0.0393,TY_US10Y,AUDUSD,1
TY_US10Y,BRENT_CRUDE,Bonds,Commodites,Inter,-0.177,-0.0802,-0.0397,-0.0626,-0.0629,-0.0252,-0.0338,-0.0536,0.0255,0,-0.177,0.177,0.0,Contemporain,Contemporain,0
TY_US10Y,WTI_CRUDE,Bonds,Commodites,Inter,-0.1714,-0.0714,-0.0347,-0.0331,-0.102,-0.0067,-0.0408,-0.0507,0.0103,0,-0.1714,0.1714,0.0,Contemporain,Contemporain,0
TY_US10Y,EURCHF,Bonds,FX_G10,Inter,-0.1347,0.058,0.0927,-0.0656,0.0003,-0.0455,0.0192,0.0641,-0.087,0,-0.1347,0.1347,0.0,Contemporain,Contemporain,0
TY_US10Y,EURGBP,Bonds,FX_G10,Inter,0.0288,0.0162,0.0499,-0.0369,0.0949,0.1038,0.0028,0.0375,-0.0458,1,0.1038,0.1038,0.075,TY_US10Y,EURGBP,1
TY_US10Y,EURJPY,Bonds,FX_G10,Inter,-0.3056,0.1242,-0.0529,-0.0695,-0.0317,-0.1009,0.0329,0.0757,-0.0466,0,-0.3056,0.3056,0.0,Contemporain,Contemporain,0
TY_US10Y,EURUSD,Bonds,FX_G10,Inter,0.1422,0.0829,-0.0288,0.0022,-0.0162,0.1187,0.0389,0.055,0.0504,0,0.1422,0.1422,0.0,Contemporain,Contemporain,0
TY_US10Y,GBPJPY,Bonds,FX_G10,Inter,-0.2607,0.0868,-0.0745,-0.0303,-0.0848,-0.1458,0.0227,0.0342,-0.005,0,-0.2607,0.2607,0.0,Contemporain,Contemporain,0
TY_US10Y,GBPUSD,Bonds,FX_G10,Inter,0.0944,0.0569,-0.0642,0.0315,-0.0846,0.0176,0.0299,0.0156,0.0771,0,0.0944,0.0944,0.0,Contemporain,Contemporain,0
TY_US10Y,GOLD,Bonds,Commodites,Inter,0.3192,-0.0201,-0.0391,-0.0234,0.0186,0.0781,-0.0278,0.0301,0.0339,0,0.3192,0.3192,0.0,Contemporain,Contemporain,0
TY_US10Y,COPPER,Bonds,Commodites,Inter,-0.0756,-0.0265,-0.0235,-0.042,-0.0272,0.0031,0.0249,0.0415,0.003,0,-0.0756,0.0756,0.0,Contemporain,Contemporain,0
TY_US10Y,NAT_GAS,Bonds,Commodites,Inter,-0.0507,0.0031,-0.0294,0.0271,0.0005,-0.05,0.0331,-0.0594,-0.009,3,-0.0594,0.0594,0.0087,TY_US10Y,NAT_GAS,3
TY_US10Y,NZDUSD,Bonds,FX_G10,Inter,0.1367,0.0175,-0.0295,-0.0418,-0.0274,0.1504,-0.016,0.0312,0.0159,1,0.1504,0.1504,0.0137,TY_US10Y,NZDUSD,1
TY_US10Y,PLATINUM,Bonds,Commodites,Inter,0.0598,-0.001,-0.0112,-0.0376,-0.0226,0.046,-0.0501,0.0348,-0.0068,0,0.0598,0.0598,0.0,Contemporain,Contemporain,0
TY_US10Y,SILVER,Bonds,Commodites,Inter,0.1524,-0.0172,-0.0287,-0.0407,-0.0172,0.0995,-0.0535,0.0224,0.0501,0,0.1524,0.1524,0.0,Contemporain,Contemporain,0
TY_US10Y,USDCAD,Bonds,FX_G10,Inter,-0.0806,-0.025,0.0078,0.0329,0.0818,-0.0485,0.0338,-0.0419,-0.0682,-1,0.0818,0.0818,0.0012,USDCAD,TY_US10Y,1
TY_US10Y,USDCHF,Bonds,FX_G10,Inter,-0.2193,-0.0218,0.0998,-0.0564,0.0118,-0.1324,-0.0257,-0.0099,-0.1053,0,-0.2193,0.2193,0.0,Contemporain,Contemporain,0
TY_US10Y,USDJPY,Bonds,FX_G10,Inter,-0.4137,0.0466,-0.0238,-0.0703,-0.0143,-0.1958,-0.003,0.0254,-0.0858,0,-0.4137,0.4137,0.0,Contemporain,Contemporain,0
