Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Lag0,Corr_Lag-4,Corr_Lag-3,Corr_Lag-2,Corr_Lag-1,Corr_Lag+1,Corr_Lag+2,Corr_Lag+3,Corr_Lag+4,Best_Lag,Best_Corr,Best_AbsCorr,Lag_Gain,Leader,Follower,Lead_Weeks
EURGBP,EUROSTOXX50,FX_G10,Indices,Inter,-0.1872,0.0362,0.0331,-0.0238,-0.2217,-0.0615,0.0271,0.0129,0.0089,-1,-0.2217,0.2217,0.0345,EUROSTOXX50,EURGBP,1
USDNOK,FTSE100,FX_G10,Indices,Inter,-0.0812,-0.1202,0.1138,-0.2167,0.1115,-0.1064,0.1097,-0.1118,0.0869,-2,-0.2167,0.2167,0.1355,FTSE100,USDNOK,2
USDNOK,DAX,FX_G10,Indices,Inter,-0.0928,-0.104,0.1136,-0.2135,0.1253,-0.0675,0.1089,-0.0951,0.0913,-2,-0.2135,0.2135,0.1207,DAX,USDNOK,2
USDNOK,EUROSTOXX50,FX_G10,Indices,Inter,-0.1239,-0.1127,0.1152,-0.2064,0.1396,-0.0701,0.1058,-0.0903,0.0843,-2,-0.2064,0.2064,0.0825,EUROSTOXX50,USDNOK,2
EURGBP,CAC40,FX_G10,Indices,Inter,-0.1749,0.0385,0.0334,-0.0231,-0.2053,-0.0693,0.0129,0.0176,0.0151,-1,-0.2053,0.2053,0.0304,CAC40,EURGBP,1
USDNOK,CAC40,FX_G10,Indices,Inter,-0.1193,-0.118,0.107,-0.1995,0.1493,-0.0951,0.1247,-0.0867,0.0805,-2,-0.1995,0.1995,0.0802,CAC40,USDNOK,2
USDNOK,NIKKEI225,FX_G10,Indices,Inter,-0.0127,-0.0635,0.0849,-0.1481,0.1316,-0.1976,0.1763,-0.075,0.0136,1,-0.1976,0.1976,0.1849,USDNOK,NIKKEI225,1
USDNOK,RUSSELL2000,FX_G10,Indices,Inter,-0.0341,-0.0971,0.096,-0.1546,-0.0354,-0.1312,0.191,-0.1584,0.1004,2,0.191,0.191,0.1569,USDNOK,RUSSELL2000,2
GBPUSD,EUROSTOXX50,FX_G10,Indices,Inter,0.1646,-0.0625,0.046,0.0028,0.1891,0.0119,-0.0281,-0.0152,-0.0648,-1,0.1891,0.1891,0.0245,EUROSTOXX50,GBPUSD,1
WTI_CRUDE,USDNOK,Commodites,FX_G10,Inter,-0.094,0.0221,-0.0055,-0.182,0.0797,-0.0753,-0.0837,0.0424,-0.072,-2,-0.182,0.182,0.088,USDNOK,WTI_CRUDE,2
USDNOK,DOWJONES,FX_G10,Indices,Inter,0.0571,-0.1276,0.1694,-0.1654,-0.0942,-0.1691,0.1558,-0.1087,0.042,-3,0.1694,0.1694,0.1123,DOWJONES,USDNOK,3
GOLD,USDNOK,Commodites,FX_G10,Inter,-0.0824,0.0286,-0.0775,0.0418,-0.0462,0.0547,-0.1635,0.1157,-0.0669,2,-0.1635,0.1635,0.0811,GOLD,USDNOK,2
RX_BUND,USDNOK,Bonds,FX_G10,Inter,0.0838,-0.0206,0.033,0.0141,-0.0327,-0.0169,-0.1578,-0.0467,0.0492,2,-0.1578,0.1578,0.074,RX_BUND,USDNOK,2
USDNOK,SP500,FX_G10,Indices,Inter,0.0064,-0.1164,0.1519,-0.1463,-0.0934,-0.1274,0.1534,-0.0913,0.0413,2,0.1534,0.1534,0.147,USDNOK,SP500,2
USDJPY,USDNOK,FX_G10,FX_G10,Intra,0.0496,0.0308,-0.0067,0.0085,0.009,0.1519,0.0672,0.011,-0.0721,1,0.1519,0.1519,0.1023,USDJPY,USDNOK,1
